Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,'16-Nov-2018 17:51:03.697'
0,3.3379,-9.1178,-0.079934,0.002297,0.017603,-0.047874,-163.9,-70.02,91.328,
0.099,3.4054,-9.0744,-0.012574,0.021645,0.037886,-0.058267,-164.09,-69.711,91.183,
0.198,3.4963,-9.0776,-0.059426,0.0066427,0.027347,-0.062714,-164.18,-69.434,91.128,
0.297,3.5795,-9.0262,-0.026944,0.018316,0.01763,-0.05414,-164.28,-69.082,91.093,
0.396,3.6011,-9.0155,-0.070503,0.022511,0.0058733,-0.05097,-164.4,-68.681,91.007,
0.494,3.6075,-9.0222,-0.087418,0.016165,0.012473,-0.066982,-164.35,-68.359,91.004,
0.593,3.6639,-8.9934,-0.057031,0.0087964,0.026525,-0.082963,-164.31,-68.053,90.999,
0.692,3.8256,-9.0659,-0.11676,0.00029641,0.034946,-0.073389,-164.4,-67.661,90.931,
0.791,3.8536,-8.9129,-0.025597,0.012012,0.031651,-0.067979,-164.53,-67.165,90.897,
0.89,4.1546,-8.7776,0.016915,0.041707,0.0096492,-0.016666,-164.73,-66.685,90.798,
0.988,4.0458,-8.8414,-0.092358,0.022433,0.0041047,0.006606,-164.85,-66.222,90.7,
1.087,4.001,-8.8801,-0.080233,0.016097,0.017813,0.018359,-164.62,-66.022,90.87,
1.186,3.9662,-8.8505,-0.029788,0.017215,0.026321,0.018415,-164.52,-66.021,90.911,
1.285,3.9504,-8.855,-0.029189,0.010772,0.018947,0.014056,-164.56,-66.09,90.868,
1.384,4.0253,-8.8325,-0.075144,0.02136,0.0090625,0.036484,-164.59,-66.188,90.871,
1.483,3.8187,-8.9396,-0.078437,0.016045,0.0072912,0.0087035,-164.51,-66.215,90.969,
1.581,3.7418,-8.8988,-0.073647,0.026673,-0.0042118,-0.010467,-164.41,-66.395,91.044,
1.68,3.9045,-9.0574,-0.12574,0.016181,0.022643,-0.028536,-164.4,-66.561,91.026,
1.779,3.9983,-8.8369,-0.089214,0.0097133,0.015034,-0.013701,-164.39,-66.44,90.993,
1.878,4.0823,-8.8494,-0.067061,0.022477,0.014548,0.02266,-164.43,-66.29,90.963,
1.977,3.9663,-8.8547,-0.066312,0.025698,0.018728,0.028041,-164.44,-66.097,90.973,
2.076,3.925,-8.8743,-0.076192,0.012921,0.023091,0.022627,-164.46,-66.047,90.936,
2.174,3.9205,-8.8673,-0.070054,0.016124,0.023081,0.022654,-164.38,-66.204,91.009,
2.273,4.0495,-8.7944,-0.010778,0.025627,0.0090225,0.038652,-164.31,-66.331,91.102,
2.372,3.868,-8.8996,-0.09595,0.018217,0.016664,0.024769,-164.4,-66.399,91.044,
2.471,3.8094,-8.9548,-0.10029,0.011861,0.021162,0.0066118,-164.26,-66.563,91.13,
2.57,3.8587,-8.953,0.033381,0.02366,0.02769,-0.008185,-164.09,-66.81,91.226,
2.669,3.8889,-8.9283,-0.070503,0.023498,0.0030765,0.0034099,-164.08,-66.937,91.226,
2.767,4.1108,-8.8167,-0.088915,0.030822,-0.0054001,0.085538,-164.17,-66.966,91.135,
2.866,4.0314,-8.856,-0.10748,0.0041844,0.024183,0.19639,-164.19,-66.844,91.105,
2.965,4.2709,-8.7789,-0.012424,0.01456,0.026232,0.46095,-163.96,-66.784,91.21,
3.064,4.2356,-8.909,-0.039668,0.020739,0.044032,0.7437,-163.78,-67.139,91.284,
3.163,3.4279,-9.2545,-0.1199,0.0016722,0.11762,0.99562,-163.96,-67.934,91.139,
3.262,2.7344,-9.6055,-0.13337,0.0099349,0.1279,1.2837,-163.83,-70.084,91.314,
3.36,1.5366,-9.6798,-0.23202,0.01403,0.15021,1.5462,-163.38,-74.095,91.942,
3.459,0.14161,-9.8733,-0.098046,0.017902,0.13227,1.7935,-162.73,-79.52,93.086,
3.558,-1.4816,-9.669,0.022453,-0.025524,0.071187,2.101,-156.8,-86.381,99.583,
3.657,-3.1032,-9.4683,0.07709,-0.074063,0.061377,2.4802,6.4809,-85.279,-96.485,
3.756,-5.0644,-8.5297,-0.13098,-0.11275,0.12706,3.0348,10.865,-75.702,-91.551,
3.855,-7.0363,-7.2186,0.063169,-0.23129,0.029232,3.495,11.889,-64.667,-90.192,
3.953,-9.1154,-2.523,0.57301,-0.15089,-0.055225,3.6808,12.589,-51.773,-89.351,
4.052,-9.4247,1.0818,0.012424,0.042613,0.11685,3.3943,13.001,-36.388,-88.576,
4.151,-8.6721,4.6941,0.7679,-0.080082,0.055712,3.0315,13.591,-18.404,-88.014,
4.25,-6.006,7.7085,0.24609,-0.0093056,0.0056326,2.4975,14.456,0.62785,-88.353,
4.349,-3.7051,9.7872,-0.36823,-0.11996,0.16516,2.0975,14.456,19.31,-88.319,
4.448,-1.9537,8.783,1.2257,-0.034131,0.049524,2.0475,14.247,36.801,-88.109,
4.546,-1.468,10.116,0.19609,-0.0054803,0.031755,2.101,13.653,52.112,-87.48,
4.645,-0.60639,10.072,0.054038,0.019451,-0.027123,2.3845,12.057,64.356,-86.059,
4.744,1.4756,10.026,0.34354,0.094985,0.010229,2.7906,10.232,75.325,-84.19,
4.843,3.722,9.1845,0.17603,0.1531,-0.024821,3.1182,-4.4109,85.79,-69.906,
4.942,6.9057,7.6024,0.1922,0.03219,-0.024292,3.3668,-153.94,82.18,79.222,
5.04,9.9411,3.7451,0.68198,0.0052957,0.067315,3.1047,-160.48,68.942,85.418,
5.139,10.421,0.69051,0.18187,0.045852,0.085159,3.2011,-161.73,53.574,86.417,
5.238,10.045,-1.0595,1.2107,0.18695,0.11971,3.211,-162.37,36.438,86.65,
5.337,8.4677,-5.2455,0.27408,0.32109,0.31599,2.7013,-163.37,18.544,86.972,
5.436,5.381,-7.7509,-0.045056,-0.13028,0.060064,2.1673,-164.34,1.7985,87.298,
5.535,6.8272,-9.2002,1.6102,-0.034068,0.057154,2.0326,-164.88,-15.466,87.64,
5.633,1.8084,-9.7467,-1.0091,0.035419,0.059971,1.9586,-164.57,-32.848,88.233,
