Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,'16-Nov-2018 17:52:23.983'
0,9.4587,2.7261,0.5769,0.011924,0.019778,-0.054181,-105.11,16.064,86.511,
0.099,9.4193,2.7984,0.58334,0.025813,0.023858,-0.04338,-105.09,16.475,86.558,
0.198,9.462,2.7793,0.5519,0.023681,0.018885,-0.071151,-111.7,16.574,86.576,
0.297,9.4186,2.7142,0.63333,0.0023843,0.020462,-0.10758,-111.67,16.891,86.569,
0.396,9.3585,2.8541,0.5781,-0.0050544,0.021811,-0.12896,-111.69,17.503,86.564,
0.494,9.3798,2.9784,0.61028,-0.0061024,0.019001,-0.15991,-111.77,18.229,86.59,
0.593,9.3163,3.1974,0.56223,-0.0028629,0.024363,-0.16412,-111.83,19.14,86.626,
0.692,9.2716,3.2788,0.52256,-0.010336,0.020366,-0.1834,-111.92,20.068,86.707,
0.791,9.1722,3.5169,0.50834,-0.0050004,0.024343,-0.162,-111.99,21.147,86.76,
0.89,9.1069,3.7478,0.53708,-0.00084795,0.013168,-0.11937,-112.05,22.123,86.823,
0.989,9.0116,4.0916,0.47391,-0.0020176,0.016175,-0.016991,-112.13,23.069,86.856,
1.087,8.9045,4.1521,0.42631,0.0018895,0.0035971,0.22718,-112.26,23.527,86.925,
1.186,8.7385,4.6164,0.49502,0.065515,0.0042983,0.58816,-112.38,22.76,86.903,
1.285,8.7125,4.5763,0.45401,0.083099,-0.023291,0.92514,-112.33,20.513,86.865,
1.384,9.1135,3.6277,0.42571,0.046377,-0.034405,1.234,-112.25,15.856,86.666,
1.483,9.5084,2.9285,0.80054,0.15153,-0.038786,1.6518,-112.42,9.5897,86.421,
1.582,9.7413,1.8183,0.66611,0.078427,-0.068724,1.9433,-112.38,1.3129,86.147,
1.68,9.8242,-0.27169,0.51238,0.02986,-0.082816,2.3246,-112.6,-8.6968,85.719,
1.779,10.016,-2.1673,0.8905,0.10385,-0.10219,2.8455,-113.42,-20.427,85.005,
1.878,9.6804,-3.9834,0.95247,0.088303,-0.10507,3.3455,-114.6,-34.411,83.967,
1.977,7.9625,-6.759,0.83826,0.16419,-0.22989,3.5267,-116.87,-51.159,81.77,
2.076,3.8885,-8.3983,1.2739,0.098978,-0.23772,3.5741,-122.81,-69.37,75.743,
2.175,0.14774,-10.521,0.80712,0.13288,-0.27935,3.5763,170.95,-85.789,8.7224,
2.273,-3.1767,-9.4278,0.63243,0.023865,-0.17882,3.3019,83.082,-71.014,-79.866,
2.372,-7.0857,-6.7288,0.2895,0.16577,0.042368,2.6676,77.351,-52.182,-86.449,
2.471,-9.0704,-3.6026,-0.32707,0.14357,-0.026573,2.1339,75.653,-34.853,-88.225,
2.57,-9.8604,-1.3241,0.15148,0.030065,0.038794,1.8645,74.264,-20.912,-89.02,
2.669,-10.146,-0.62375,0.062271,0.14043,-0.090035,1.756,73.37,-9.6075,-89.478,
2.767,-9.5213,1.173,-0.031884,0.14279,-0.040729,1.8128,72.693,0.32663,-89.981,
2.866,-9.684,2.178,-0.023651,0.047561,-0.049734,1.9645,72.074,9.8162,-90.324,
2.965,-9.263,3.6618,0.17319,-0.042236,-0.022746,2.2166,71.497,19.57,-90.595,
3.064,-8.4856,5.2051,0.021106,0.040514,-0.017962,2.6737,71.4,30.137,-90.978,
3.163,-7.2156,6.0687,-0.16331,0.094967,-0.097543,3.1632,71.823,41.982,-91.55,
3.262,-5.5549,8.535,-0.26839,0.20807,-0.21493,3.5101,72.37,56.071,-92.206,
3.36,-1.925,9.0547,-0.37377,0.093805,-0.11749,3.1418,73.637,72.729,-93.832,
3.459,2.9854,9.3799,-0.57016,0.226,-0.094443,3.3979,-138.21,88.6,117.16,
3.558,4.5642,8.9628,0.7206,0.19406,-0.075502,3.4233,-111.94,71.171,90.069,
3.657,8.127,6.796,0.43934,0.17945,-0.11324,2.9463,-111.12,53.501,88.54,
3.756,9.7569,2.2025,0.22139,0.036482,-0.090722,2.0996,-110.74,34.887,87.721,
3.855,10.042,-1.4735,0.63214,0.044513,-0.040208,1.8824,-110.41,17.447,86.95,
3.954,10.17,-1.0013,1.0005,0.024557,-0.040966,1.6017,-110.78,3.6314,86.274,
4.052,9.3587,-3.4038,0.90607,0.030965,-0.020921,1.7011,-110.92,-7.1225,85.833,
