Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,'16-Nov-2018 17:55:39.380'
0,7.8338,5.8272,0.27183,0.086752,-0.023341,1.4498,-125.45,36.219,87.997,
0.091,8.4403,5.0357,0.28112,0.15255,-0.025304,1.7671,-125.18,27.19,87.584,
0.19,8.8923,4.0133,0.39233,0.22336,-0.064423,2.1631,-83.856,16.716,87.123,
0.288,9.8664,2.3206,0.45071,0.092508,-0.10026,2.5169,-83.446,4.2914,86.488,
0.387,10.143,-0.17409,0.5067,0.1293,-0.13301,2.8359,-83.742,-9.8707,85.6,
0.486,9.7329,-2.8019,1.2195,0.21932,-0.2083,3.0527,-84.348,-25.293,84.595,
0.585,8.6375,-4.8996,0.9878,0.14389,-0.1325,3.1378,-85.454,-41.707,83.019,
0.684,5.7687,-7.5964,0.92882,0.1439,-0.1033,3.2734,-88.392,-58.749,80.053,
0.783,3.2713,-9.1114,0.70204,0.19169,-0.13691,3.312,-98.955,-76.519,69.43,
0.881,0.1217,-9.4034,0.88541,0.22267,-0.15478,3.1992,133.92,-82.807,-58.053,
0.98,-3.8133,-8.745,0.45954,0.13702,-0.072465,2.9291,108.97,-65.817,-83.207,
1.079,-6.3676,-7.0011,0.17798,0.097251,-0.13814,2.8282,105.3,-49.758,-86.878,
1.178,-7.5666,-5.6497,-1.2899,0.12058,-0.15577,2.872,103.84,-33.915,-88.277,
1.277,-9.0481,-2.9692,0.14984,0.058051,-0.052026,3.0181,103.15,-18.421,-89.121,
1.376,-9.604,-0.82074,0.020956,0.060819,-0.05629,3.3658,102.79,-2.3594,-89.513,
1.474,-8.9958,1.3747,0.19055,0.074207,-0.053109,3.7978,102.46,15.017,-89.863,
1.573,-8.6698,4.4375,0.11975,0.032404,-0.043672,3.9937,102.11,34.822,-90.131,
1.672,-4.5202,7.1692,-0.28216,0.095643,-0.20496,3.8547,101.98,55.728,-90.728,
1.771,-1.3298,9.838,-0.37467,0.12022,-0.17176,4.0044,102.47,76.914,-92.093,
1.87,1.5623,9.9061,-0.13966,0.10606,-0.21356,4.0329,-80.488,81.297,89.798,
1.969,5.073,7.8061,0.10837,0.055209,-0.16053,3.973,-79.892,59.591,87.994,
2.067,9.2132,5.7639,0.33066,0.14791,-0.20652,3.8818,-80.458,37.279,87.231,
2.166,9.7148,1.5867,0.59337,0.22291,-0.18094,3.7717,-81.211,15.842,86.446,
