Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll
0,0.48724,9.9148,-0.069156,0.018254,0.015019,-0.014697,174.74,87.164,98.084
0.099,0.46763,9.9127,-0.055535,0.018218,0.010659,-0.00619,176.56,87.615,96.252
0.197,0.31659,9.8684,-0.053439,0.016086,0.013701,0.006606,-84.594,87.786,97.338
0.296,0.33979,9.8904,-0.066312,0.019307,0.017881,0.011987,-84.754,87.766,97.491
0.395,0.38216,9.8892,-0.039368,0.019345,0.024265,0.012023,-84.234,87.709,97
0.494,0.42557,9.8952,-0.047002,0.01614,0.022238,0.0045202,-84.038,87.634,96.838
0.593,0.4085,9.8798,-0.048799,0.018263,0.020117,0.0034597,-83.88,87.613,96.705
0.691,0.42137,9.8953,-0.049846,0.01823,0.013785,-0.00084076,-83.811,87.617,96.651
0.79,0.42467,9.9068,-0.058079,0.015038,0.014899,-0.0040603,-83.69,87.646,96.525
0.889,0.38874,9.8983,-0.049846,0.020338,0.0095096,0.00021971,-83.942,87.71,96.764
0.988,0.37228,9.9055,-0.049248,0.013974,0.016939,0.003407,-84.211,87.744,97.022
1.087,0.37512,9.8862,-0.055984,0.019337,0.022176,0.0088119,-84.483,87.766,97.295
1.186,0.36464,9.9007,-0.058977,0.016323,0.063079,0.058065,-84.217,87.787,97.057
1.284,0.2145,9.951,-0.011376,0.022449,0.0072704,0.0087562,-84.157,87.682,97.22
1.383,0.73692,9.8244,-0.061821,0.033213,0.021132,0.0035886,-83.921,87.419,97.053
1.482,0.48828,9.9286,-0.035327,0.011987,0.045424,0.023808,-82.148,87.428,95.315
1.581,0.29504,9.8363,0.076491,0.0055665,0.040282,0.01093,-81.015,87.471,94.333
1.68,0.37332,9.9161,0.046853,0.01291,0.01597,-0.004072,-81,87.382,94.367
1.779,0.48215,9.9136,0.019909,0.013957,0.017768,0.022607,-81.851,87.33,95.242
1.877,0.43021,9.8949,0.023801,0.019192,-0.0022685,0.0065445,-81.916,87.362,95.309
1.976,0.53394,9.8863,-0.024699,0.017015,-0.009683,0.0043532,-82.339,87.262,95.676
2.075,0.47182,9.8859,-0.01931,0.0074502,-0.0042408,-0.0031609,-82.035,87.256,95.268
2.174,0.46314,9.866,-0.012724,0.0096553,0.0074555,-0.0030789,-81.709,87.266,94.809
2.273,0.44413,9.8959,-0.054187,0.016133,0.022173,0.0098518,-82.605,87.313,95.61
2.372,0.40072,9.916,-0.096998,0.019383,0.032646,0.022733,-83.895,87.376,96.884
2.47,0.43065,9.9003,-0.083975,0.019367,0.02948,0.020583,-84.208,87.363,97.246
2.569,0.51523,9.9009,-0.058079,0.017201,0.02217,0.0098606,-83.346,87.254,96.467
2.668,0.52825,9.8666,-0.040715,0.013968,0.015875,0.0034011,-82.581,87.155,95.775
2.767,0.56448,9.8745,-0.066162,0.017145,0.01061,-0.0019335,-82.478,87.112,95.709
2.866,0.51673,9.8979,-0.056433,0.01611,0.014934,-0.0072505,-82.588,87.094,95.819
2.964,0.52152,9.8895,-0.054487,0.015037,0.013887,-0.0083314,-82.51,87.135,95.725
3.063,0.48634,9.8916,-0.035327,0.015035,0.013861,-0.0061988,-82.641,87.196,95.844
3.162,0.44532,9.872,-0.051942,0.017191,0.019069,0.0023787,-82.878,87.281,96.075
3.261,0.44083,9.9052,-0.064366,0.017199,0.022157,0.010927,-83.075,87.353,96.266
3.36,0.42122,9.9113,-0.066911,0.016137,0.023211,0.01199,-83.237,87.403,96.436
