Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,'16-Nov-2018 17:53:47.069'
0,-6.226,7.6747,-0.090861,0.01926,0.015414,0.0397,-38.402,50.956,-90.836,
0.099,-6.2022,7.6397,-0.065264,0.021357,0.0090364,0.038616,-38.537,51.144,-90.719,
0.198,-6.1961,7.6645,-0.052092,0.016064,0.015489,0.034342,110.54,51.302,-90.693,
0.297,-6.1745,7.6847,-0.070204,0.01077,0.02193,0.031134,110.56,51.458,-90.702,
0.395,-6.0977,7.723,-0.08667,0.012907,0.02095,0.023682,110.56,51.61,-90.691,
0.494,-6.0973,7.722,-0.040416,0.021427,0.018729,0.029072,110.58,51.687,-90.664,
0.593,-6.0979,7.7238,-0.13921,0.010772,0.021956,0.029002,110.62,51.827,-90.703,
0.692,-6.0817,7.7944,-0.047152,0.015022,0.017738,0.024748,110.61,51.95,-90.691,
0.791,-6.0375,7.804,-0.044308,0.010739,0.017622,0.035376,110.6,52.058,-90.663,
0.89,-6.0718,7.7284,-0.045505,0.018208,0.016573,0.032233,110.62,52.191,-90.681,
0.988,-6.0399,7.8326,-0.092059,0.021407,0.014526,0.024783,110.65,52.35,-90.722,
1.087,-6.0055,7.8617,-0.07694,0.017166,0.017823,0.017301,110.65,52.484,-90.708,
1.186,-5.9943,7.8356,-0.090711,0.019269,0.011497,0.011952,110.64,52.554,-90.692,
1.285,-5.9928,7.8257,-0.04805,0.019283,0.013638,0.010898,110.61,52.587,-90.675,
1.384,-5.9768,7.8332,-0.088915,0.013966,0.017859,0.015142,110.63,52.623,-90.701,
1.483,-5.9898,7.8209,-0.10029,0.016114,0.018981,0.0098343,110.64,52.648,-90.704,
1.581,-5.9428,7.8841,-0.079036,0.016111,0.016945,0.0023582,110.66,52.711,-90.713,
1.68,-5.9548,7.8468,-0.05299,0.018249,0.016977,-0.00082318,110.66,52.717,-90.711,
1.779,-5.9808,7.8344,-0.074994,0.015052,0.018038,0.00022264,110.65,52.685,-90.708,
1.878,-5.9847,7.8356,-0.066911,0.01293,0.020173,0.00021678,110.65,52.652,-90.704,
1.977,-5.9823,7.8359,-0.055235,0.016108,0.01592,-0.00084662,110.65,52.611,-90.692,
2.076,-6.0012,7.8489,-0.070503,0.015044,0.016961,0.0012831,110.66,52.577,-90.693,
2.174,-6.0262,7.8355,-0.070354,0.015055,0.019063,0.0034275,110.65,52.54,-90.685,
2.273,-6.0096,7.8356,-0.074096,0.018243,0.016912,0.0045085,110.65,52.512,-90.676,
2.372,-5.9937,7.8287,-0.073797,0.013979,0.01799,0.0044792,110.65,52.506,-90.677,
2.471,-6.026,7.826,-0.060624,0.016121,0.019047,0.0045026,110.65,52.492,-90.677,
2.57,-6.0042,7.8358,-0.08188,0.017168,0.015838,0.0055601,110.67,52.494,-90.682,
2.669,-6.0194,7.8334,-0.063917,0.013981,0.019001,0.0087503,110.67,52.489,-90.687,
2.767,-6.0028,7.8262,-0.080233,0.012909,0.018966,0.011941,110.67,52.481,-90.687,
