Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,'16-Nov-2018 17:40:30.624'
0,-4.8098,8.6276,-0.077838,0.017183,0.018991,0.0087767,4.0801,60.818,-91.031,
0.099,-4.8384,8.6013,-0.084424,0.016106,0.017904,0.010895,4.0812,60.84,-91.03,
0.197,-4.8028,8.6095,-0.079335,0.016111,0.018955,0.011967,4.0734,60.868,-91.014,
0.296,-4.78,8.6197,-0.088765,0.013983,0.020026,0.011955,4.0767,60.899,-91.006,
0.395,-4.7847,8.6284,-0.096849,0.016119,0.019034,0.0055689,4.1115,60.943,-91.027,
0.494,-4.792,8.6203,-0.094603,0.016111,0.016945,0.0023582,4.1243,60.959,-91.032,
0.593,-4.7841,8.6276,-0.078138,0.017177,0.01593,-0.0019042,4.1313,60.955,-91.043,
0.692,-4.8093,8.6423,-0.095202,0.018247,0.015952,-0.004028,4.1226,60.923,-91.044,
0.79,-4.8143,8.6314,-0.075144,0.016107,0.015907,0.00021971,4.0904,60.874,-91.034,
0.889,-4.824,8.5996,-0.086969,0.017182,0.017979,0.0045055,4.0857,60.832,-91.036,
0.988,-4.8189,8.6137,-0.083077,0.016099,0.015829,0.0066177,4.0843,60.807,-91.036,
1.087,-4.8282,8.5941,-0.088616,0.018242,0.017911,0.009846,4.0945,60.808,-91.04,
1.186,-4.8432,8.6014,-0.10778,0.01717,0.019872,0.023711,4.0793,60.81,-91.025,
1.285,-4.8248,8.608,-0.098046,0.01396,0.021802,0.040758,4.0671,60.823,-91.01,
1.383,-4.7562,8.6664,-0.086071,0.0129,0.023881,0.045026,4.0803,60.948,-91.01,
1.482,-4.8173,8.5812,-0.06751,0.012905,0.030937,0.077057,4.1347,61.151,-91.027,
1.581,-4.8977,8.4915,-0.068258,0.0021987,0.045678,0.17942,4.1822,61.362,-91.015,
1.68,-4.7011,8.5647,-0.085323,0.010557,0.036871,0.28822,4.2716,61.725,-90.98,
1.779,-4.6106,8.761,-0.094903,0.017756,0.015145,0.40973,4.495,62.587,-91.055,
1.878,-4.4128,8.8218,-0.087867,0.01645,0.012812,0.6006,4.5323,64.064,-91.021,
1.976,-3.9088,9.116,-0.098345,0.015156,0.0085871,0.77225,4.526,66.117,-91.029,
2.075,-3.1013,9.4575,-0.15702,0.029555,-0.053867,0.916,4.5731,69.193,-91.113,
2.174,-2.4007,9.6781,-0.052241,0.050685,-0.053067,1.106,4.6258,73.39,-91.335,
2.273,-1.3111,9.794,-0.014969,0.037659,-0.04514,1.3309,4.6104,78.31,-91.697,
