Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll
0,-5.9997,-7.5639,0.10987,0.016122,0.020058,0.0087738,10.035,-51.616,-88.904
0.099,-6.0465,-7.5135,0.10987,0.011812,0.014674,0.015107,10.048,-51.573,-88.912
0.198,-6.1013,-7.5166,0.099842,0.01824,0.016886,0.0066411,10.049,-51.499,-88.911
0.297,-6.0112,-7.5729,0.12739,0.020415,0.021278,-0.0050475,10.011,-51.486,-88.911
0.395,-6.0043,-7.5894,0.11242,0.013967,0.014863,-0.00087005,9.9988,-51.524,-88.907
0.494,-6.0506,-7.5581,0.11182,0.014989,0.0084108,0.0044352,10.046,-51.546,-88.88
0.593,-6.0344,-7.556,0.10418,0.018258,0.018067,-0.00295,10.057,-51.522,-88.903
0.692,-6.0247,-7.5606,0.13352,0.015054,0.018051,-0.00084369,10.051,-51.561,-88.901
0.791,-5.9826,-7.597,0.10418,0.017185,0.017007,-0.0029646,10.047,-51.59,-88.893
0.89,-5.9988,-7.5873,0.11047,0.016112,0.016958,0.0012919,10.039,-51.633,-88.891
0.988,-6.0182,-7.5882,0.10568,0.017172,0.014879,-0.0029763,10.041,-51.65,-88.892
1.087,-6.0103,-7.5868,0.10643,0.018254,0.016018,-0.0093597,10.041,-51.671,-88.894
1.186,-5.9623,-7.6346,0.12679,0.012947,0.020343,-0.013646,10.026,-51.736,-88.901
1.285,-5.9353,-7.64,0.10808,0.015069,0.019207,-0.0083021,10.025,-51.839,-88.88
1.384,-5.8886,-7.7569,0.093555,0.01183,0.017853,0.016191,10.025,-51.949,-88.873
1.483,-6.0236,-7.6052,0.14849,0.0074747,0.0090161,0.043834,10.04,-52.005,-88.863
1.581,-6.1979,-7.4331,0.061223,4.3676e-05,0.0064358,-0.0042302,10.13,-51.79,-88.822
1.68,-6.0431,-7.5756,0.13337,0.021592,0.026353,-0.072194,10.198,-51.606,-88.853
1.779,-5.5521,-7.9392,0.12589,0.043995,0.04218,0.019789,10.21,-51.843,-88.832
1.878,-5.2509,-8.2001,0.16765,0.027525,0.015707,0.27438,10.05,-52.12,-88.833
1.977,-5.5636,-7.9557,0.079784,0.032457,0.012721,0.60393,9.8874,-51.383,-88.893
2.076,-6.1495,-7.5563,0.092358,0.070721,0.049059,0.92863,9.7213,-49.84,-89.049
2.175,-6.9084,-6.79,0.16885,0.10645,0.016353,1.2444,9.2996,-45.984,-89.274
2.273,-8.0366,-5.4838,0.065115,0.10619,0.013847,1.4491,8.6302,-40.17,-89.648
2.372,-8.8285,-4.188,-0.018262,0.18532,0.061044,1.5716,8.0289,-32.988,-90.023
2.471,-9.1821,-2.943,0.34294,0.20914,-0.018301,1.7889,7.3653,-24.994,-90.273
2.57,-9.2192,-2.0154,0.53349,0.18325,-0.0048486,2.0874,6.3804,-16.27,-90.513
2.669,-9.8938,0.54756,-0.3365,0.1996,-0.068151,2.3868,5.5405,-6.3365,-90.889
2.768,-9.8462,2.551,-0.052092,0.16284,-0.057555,2.8345,4.919,5.1108,-91.283
2.866,-7.3121,6.1983,-0.32078,0.18364,-0.098098,3.0989,4.2492,18.305,-91.579
2.965,-5.6225,7.9543,0.36958,0.14484,-0.12864,3.2573,3.8241,33.87,-91.87
3.064,-2.163,9.3602,-0.3847,0.092636,-0.10747,3.2794,3.3387,50.393,-92.253
3.163,1.2294,10.209,-0.025896,0.081855,-0.13952,3.2055,3.324,67.696,-93.015
3.262,4.2423,8.4194,-0.45445,0.0040192,-0.16248,3.015,10.853,85.25,-101.17
3.361,6.8135,7.1583,0.59322,-0.063734,-0.089679,2.9092,176.36,76.98,92.803
3.459,7.5365,6.3946,0.43859,0.20264,0.013438,2.9354,177.84,60.533,90.683
3.558,8.7885,3.9889,-0.051044,0.17915,0.025433,3.0046,177.67,45.335,89.969
3.657,10.265,1.2821,-0.09625,0.19637,-0.058767,3.3594,178.53,29.765,89.76
3.756,10.848,-1.4033,0.027842,0.3084,-0.11517,4.0266,179.31,13.844,89.525
3.855,8.0356,-6.5389,-0.39727,-0.023448,-0.060918,4.2001,-179.95,-3.5164,89.253
3.954,5.3303,-8.9343,0.23606,0.17225,-0.15454,4.3227,-178.75,-23.665,88.992
4.052,0.26704,-9.6611,0.25477,0.10792,-0.034569,4.2738,-178.59,-46.075,88.354
4.151,-2.8773,-9.1523,-0.21121,0.046199,-0.11905,4.5853,-179.72,-68.817,86.853
4.25,-7.8837,-5.7198,-0.16092,0.17441,0.03041,4.3376,28.682,-87.913,-64.9
4.349,-9.2521,-1.5527,0.34982,0.19517,0.060022,4.0863,5.0109,-64.567,-88.969
4.448,-9.7001,2.0665,0.29504,0.26299,-0.077207,3.8056,3.7911,-40.319,-90.44
4.547,-9.5338,4.1646,-0.016017,0.051053,-0.097321,4.1994,2.7762,-17.502,-90.971
4.646,-5.4597,7.631,-0.19924,0.097805,-0.018016,3.8803,1.8306,4.1109,-91.382
4.744,-3.2,8.8718,-0.13487,0.036455,0.14187,4.2209,1.0045,24.692,-91.842
4.843,0.36,9.2576,0.067809,0.26861,0.079771,4.3664,1.5317,45.872,-92.705
4.942,4.9114,7.9854,0.22079,0.39274,0.13652,4.3923,3.4249,67.292,-94.506
5.041,9.219,4.9423,-0.18666,0.19761,0.014532,4.4988,95.086,88.63,174.71
5.14,9.6983,0.96938,0.032482,0.19266,-0.079217,4.5963,-179.67,66.338,90.268
5.239,10.286,-3.5168,-0.2865,-0.12171,-0.022173,4.4501,-177.21,42.222,88.805
5.338,6.8933,-7.2313,0.2181,0.018719,0.034348,4.2297,-176.54,17.665,88.609
5.436,3.3756,-9.1779,0.27483,0.048217,0.10899,4.0352,-176.48,-6.8789,88.246
5.535,-0.63049,-9.6301,0.29279,0.097555,-0.042493,3.9676,-177.35,-31.043,87.61
5.634,-2.8472,-8.781,-0.070204,0.060505,-0.13592,4.1342,-178.93,-54.293,86.579
5.733,-6.8926,-6.8037,0.21555,0.060928,-0.039658,4.267,176.25,-76.532,82.527
5.832,-8.9403,-3.801,-0.14924,0.25192,0.012104,4.5962,12.432,-81.326,-80.758
