Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll, '16-Nov-2018 17:48:42.859'
0,-5.0756,8.5158,-0.029788,0.013963,0.015823,0.0076664,14.116,59.286,-90.517,
0.099,-5.0698,8.4751,-0.061372,0.015026,0.016779,0.016212,14.106,59.264,-90.51,
0.198,-5.012,8.5218,-0.055385,0.02039,0.020031,0.0098753,14.088,59.323,-90.487,
0.297,-5.0894,8.4941,-0.071701,0.013947,0.015666,0.020462,14.072,59.35,-90.497,
0.395,-5.0218,8.507,-0.031734,0.016091,0.016749,0.018353,14.047,59.407,-90.472,
0.494,-4.965,8.5317,-0.054786,0.020368,0.016814,0.01199,14.068,59.499,-90.484,
0.593,-5.0108,8.5067,-0.047302,0.01611,0.018942,0.013033,14.054,59.55,-90.484,
0.692,-4.9846,8.5326,-0.021106,0.015052,0.019037,0.0055601,14.058,59.592,-90.486,
0.791,-4.9719,8.5471,-0.05793,0.017165,0.013815,-0.0029822,14.064,59.642,-90.481,
0.89,-4.9716,8.5284,-0.029638,0.013989,0.017082,-0.0083226,14.089,59.637,-90.5,
0.988,-4.9999,8.5129,-0.038171,0.013999,0.018185,-0.011516,14.06,59.582,-90.479,
1.087,-5.0245,8.5146,-0.066462,0.016119,0.016025,-0.0093773,14.069,59.499,-90.483,
1.186,-5.0526,8.5122,-0.050894,0.016115,0.015985,-0.0061783,14.077,59.404,-90.491,
1.285,-5.0735,8.4656,-0.03368,0.01505,0.017014,-0.0029822,14.098,59.323,-90.513,
1.384,-5.0646,8.5064,-0.065264,0.01824,0.015887,0.0013036,14.105,59.256,-90.515,
1.483,-5.0652,8.4686,-0.029339,0.017168,0.015838,0.0055601,14.1,59.205,-90.518,
1.581,-5.0625,8.4734,-0.021705,0.017193,0.020094,0.0055836,14.092,59.184,-90.513,
1.68,-4.9986,8.5177,-0.022004,0.010856,0.027784,-0.012556,14.084,59.165,-90.505,
1.779,-4.9424,8.5552,-0.018711,0.021509,0.011523,-0.077608,14.103,59.199,-90.498,
1.878,-5.014,8.5364,-0.056732,0.02688,0.013842,-0.094613,14.196,59.176,-90.541,
1.977,-5.2662,8.2904,-0.034428,0.0086995,0.0095538,-0.087322,14.184,58.885,-90.544,
2.076,-5.2436,8.3706,-0.045954,0.016188,0.012695,-0.08511,14.094,58.297,-90.496,
