Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,'16-Nov-2018 17:44:44.746'
0,9.7795,-0.71431,0.77374,-0.026626,0.018689,0.044672,-172.13,-3.84,85.373,
0.098,9.7856,-0.75323,0.79275,-0.01912,0.022999,0.038359,-172.35,-4.036,85.368,
0.197,9.7881,-0.7926,0.79305,-0.0095352,0.017753,0.029878,-172.52,-4.2179,85.374,
0.296,9.7337,-0.75817,0.82029,-0.0052315,0.020075,0.012863,-172.64,-4.3666,85.365,
0.395,9.7344,-0.78497,0.79859,0.013974,0.018936,0.014082,-172.73,-4.426,85.369,
0.494,9.7655,-0.81506,0.77928,0.019307,0.017881,0.011987,-172.74,-4.4679,85.367,
0.593,9.7618,-0.76701,0.7914,0.029964,0.01267,0.00031638,-172.71,-4.5067,85.372,
0.691,9.7576,-0.74934,0.8173,0.027865,0.018036,-0.0028709,-172.65,-4.5152,85.366,
0.79,9.7504,-0.75024,0.78018,0.027862,0.01801,-0.00073823,-172.58,-4.4749,85.373,
0.889,9.773,-0.75533,0.79709,0.025708,0.015824,0.0045641,-172.51,-4.4277,85.376,
0.988,9.7545,-0.73782,0.81251,0.022508,0.016859,0.0077426,-172.45,-4.4204,85.374,
1.087,9.7619,-0.82299,0.77,0.023569,0.015791,0.0077455,-172.41,-4.4175,85.365,
1.186,9.8459,-0.89409,0.56283,0.031063,0.017986,0.00035447,-172.37,-4.4367,85.362,
1.284,9.7621,-0.74949,0.89828,0.00010812,0.025091,0.036396,-172.31,-4.4759,85.384,
1.383,9.754,-1.1138,0.77943,0.061984,0.019557,0.037943,-172.12,-4.4762,85.384,
1.482,9.7265,-1.0469,0.82658,0.025691,0.010648,-0.0071948,-171.88,-4.7112,85.397,
1.581,9.7615,-0.64276,0.89454,0.0097757,0.016646,-0.058481,-171.79,-5.0081,85.377,
1.68,9.6961,-0.39398,0.85308,0.012864,0.0065117,-0.013722,-171.77,-4.8718,85.364,
1.779,9.7281,-0.80308,0.78452,0.041662,0.014212,0.045211,-171.77,-4.4904,85.366,
1.878,9.7512,-0.92523,0.78736,0.032071,0.015398,0.037673,-171.65,-4.322,85.379,
1.976,9.748,-0.89693,0.76536,0.017178,0.01794,0.0077045,-171.55,-4.5401,85.41,
2.075,9.76,-0.77389,0.79036,0.0054664,0.020276,-0.0062427,-171.49,-4.77,85.404,
2.174,9.7673,-0.75293,0.78766,0.00863,0.01488,-0.000914,-171.51,-4.8388,85.397,
2.273,9.7579,-0.79021,0.81925,0.015016,0.013678,0.0087298,-171.56,-4.7564,85.395,
2.372,9.7557,-0.82957,0.79649,0.013964,0.016834,0.011938,-171.6,-4.7018,85.396,
2.471,9.7488,-0.83871,0.78991,0.011851,0.020059,0.009805,-171.61,-4.6881,85.392,
2.569,9.7605,-0.83122,0.77763,0.013986,0.019054,0.004485,-171.61,-4.7327,85.398,
2.668,9.7658,-0.79425,0.79395,0.01504,0.016922,0.0044821,-171.61,-4.7775,85.405,
2.767,9.7554,-0.80233,0.77269,0.019305,0.015858,0.0034451,-171.62,-4.7899,85.411,
2.866,9.7693,-0.78661,0.7715,0.02144,0.015851,0.0034626,-171.61,-4.7791,85.411,
2.965,9.7537,-0.79545,0.74365,0.019304,0.015844,0.0045114,-171.58,-4.7641,85.396,
3.064,9.7458,-0.80772,0.78631,0.017169,0.015851,0.0044938,-171.55,-4.7534,85.394,
3.162,9.7669,-0.78587,0.79919,0.012915,0.018019,0.0023377,-171.52,-4.7287,85.398,
3.261,9.7651,-0.78631,0.80039,0.015047,0.017986,0.004488,-171.49,-4.7253,85.402,
3.36,9.7587,-0.8191,0.79155,0.012909,0.017967,0.006603,-171.48,-4.7095,85.399,
3.459,9.7694,-0.81491,0.80083,0.010767,0.016897,0.0076459,-171.48,-4.6936,85.398,
3.558,9.7558,-0.81236,0.78916,0.010768,0.01691,0.0065796,-171.47,-4.6882,85.397,
3.657,9.739,-0.79874,0.78377,0.010768,0.01691,0.0065796,-171.48,-4.6982,85.406,
3.756,9.7548,-0.82957,0.78407,0.012902,0.01689,0.0076635,-171.51,-4.7004,85.408,
3.854,9.7618,-0.79934,0.77239,0.013969,0.016887,0.0076723,-171.53,-4.712,85.408,
3.953,9.7482,-0.83182,0.76865,0.015047,0.017986,0.004488,-171.55,-4.7176,85.409,
4.052,9.7564,-0.82119,0.77838,0.019291,0.013717,0.0044997,-171.57,-4.7287,85.411,
4.151,9.76,-0.80727,0.77659,0.019296,0.014767,0.0055719,-171.57,-4.7381,85.408,
4.25,9.7593,-0.80188,0.7917,0.018249,0.017976,0.0045143,-171.57,-4.742,85.404,
4.349,9.7823,-0.80128,0.80488,0.017182,0.017979,0.0045055,-171.55,-4.7437,85.399,
4.447,9.7715,-0.79395,0.80203,0.013978,0.017977,0.0055455,-171.53,-4.7421,85.395,
4.546,9.7676,-0.83721,0.7941,0.01077,0.016923,0.0055133,-171.5,-4.7312,85.389,
4.645,9.7573,-0.82583,0.79784,0.0075711,0.017971,0.0076254,-171.49,-4.7218,85.394,
4.744,9.7849,-0.78796,0.76266,0.0022355,0.018002,0.0065152,-171.49,-4.7184,85.396,
4.843,9.7527,-0.74949,0.81416,0.0065125,0.020063,0.010827,-171.51,-4.7326,85.389,
4.942,9.7522,-0.84709,0.77958,0.0043553,0.01885,0.0236,-171.55,-4.7302,85.385,
5.04,9.7564,-0.8658,0.78766,-0.0052392,0.018998,0.013924,-171.61,-4.7255,85.396,
5.139,9.7399,-0.81116,0.81012,-0.0063042,0.020027,0.01712,-171.67,-4.7129,85.382,
5.238,9.756,-0.83047,0.7709,-0.0063263,0.017807,0.024572,-171.74,-4.7987,85.397,
5.337,9.7578,-0.89424,0.78572,-0.0010013,0.017673,0.034213,-171.83,-4.8895,85.407,
5.436,9.7738,-0.8908,0.83616,5.38E-05,0.013544,0.023535,-171.95,-4.9203,85.394,
5.535,9.7034,-0.9387,0.80039,0.011839,0.02094,0.024739,-172.07,-4.9798,85.394,
5.634,9.7393,-0.98046,0.76371,0.016089,0.016736,0.01942,-172.19,-5.0841,85.388,
5.732,9.7254,-0.99603,0.78003,0.020371,0.015841,0.0045202,-172.29,-5.2382,85.399,
5.831,9.7449,-0.95172,0.80592,0.032114,0.014817,-0.001787,-172.36,-5.3463,85.39,
5.93,9.7405,-0.94948,0.77494,0.036389,0.013857,-0.011355,-172.38,-5.4644,85.391,
6.029,9.7631,-0.90831,0.79305,0.040665,0.014907,-0.011314,-172.37,-5.5534,85.398,
6.128,9.7313,-0.89858,0.78212,0.043848,0.012704,-0.0059673,-172.33,-5.5823,85.391,
6.227,9.7471,-0.91759,0.77763,0.039587,0.014806,-0.0027918,-172.23,-5.5484,85.383,
6.325,9.7599,-0.88436,0.78646,0.027843,0.014818,-0.00075581,-172.1,-5.4656,85.39,
6.424,9.7489,-0.86595,0.78063,0.021462,0.019068,0.0013476,-171.95,-5.3694,85.384,
6.523,9.7422,-0.87882,0.77374,0.016113,0.01797,0.0055631,-171.8,-5.3019,85.377,
6.622,9.7347,-0.94618,0.79515,0.0075594,0.016855,0.011885,-171.66,-5.2636,85.386,
6.721,9.7486,-1.0095,0.80518,0.0075485,0.012743,0.00013183,-171.58,-5.2362,85.387,
6.82,9.8,-0.89798,0.68542,0.024687,0.018281,-0.022091,-171.54,-5.2089,85.389,
6.919,9.7185,-0.74186,0.74814,0.033173,0.014736,0.0046198,-171.54,-5.1953,85.391,
7.017,9.7495,-0.5278,0.87029,0.025624,0.011992,0.056797,-171.56,-5.2362,85.382,
7.116,9.8125,-0.68632,0.78407,0.0030903,0.013913,0.16646,-171.57,-5.2941,85.392,
7.215,9.8497,-0.42137,0.73228,-0.024902,0.018658,0.39447,-171.52,-5.1636,85.405,
7.314,9.7497,-0.95771,0.92582,-0.066708,0.034074,0.62349,-171.44,-5.017,85.381,
7.413,9.7214,-1.5226,0.8197,-0.094676,0.04707,0.87287,-171.43,-4.9466,85.341,
7.512,9.5099,-1.9894,0.92852,-0.042735,0.054375,1.2189,-171.48,-5.3554,85.338,
7.61,9.2707,-3.4678,0.80158,0.00061199,0.053158,1.5679,-171.75,-6.2811,85.311,
7.709,8.5388,-5.0236,0.74156,-0.038037,0.076136,1.8738,-172.33,-8.5715,85.27,
7.808,7.9088,-6.042,0.84185,-0.042533,0.11899,2.2856,-173.2,-12.348,85.222,
7.907,6.5655,-7.6075,1.0474,-0.030965,0.20135,2.8556,-174.15,-17.637,85.142,
8.006,2.8191,-9.8455,0.98435,0.076277,0.1464,3.0578,-175.03,-24.783,85.003,
8.105,-0.22962,-9.894,0.76446,0.023193,0.20346,3.1046,-176.11,-33.506,84.685,
