Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,'16-Nov-2018 17:43:19.249'
0,-8.6574,4.661,0.15268,0.039752,0.0084087,-0.17558,9.7234,29.322,-88.855,
0.098,-8.7577,4.3886,0.18516,0.035449,0.014101,-0.118,9.6257,28.238,-88.886,
0.197,-8.8116,4.3167,0.18726,0.026804,0.0121,-0.03917,9.5341,27.442,-88.862,
0.296,-8.7905,4.3303,0.16316,0.017169,0.020858,0.030115,9.4829,27.112,-88.854,
0.395,-8.7152,4.5255,0.15523,0.0011377,0.026719,0.076937,9.5128,27.199,-88.844,
0.494,-8.6243,4.6874,0.17708,5.11E-05,0.023531,0.07691,9.6036,27.619,-88.837,
0.593,-8.5802,4.7535,0.16735,0.0053878,0.019506,0.056671,9.6779,28.101,-88.827,
0.691,-8.5695,4.8017,0.1907,0.011813,0.017683,0.030054,9.7343,28.488,-88.846,
0.79,-8.5637,4.8067,0.21001,0.019289,0.014702,0.010904,9.747,28.71,-88.85,
0.889,-8.5611,4.7601,0.15523,0.016093,0.013766,0.0012743,9.7385,28.817,-88.842,
0.988,-8.5953,4.7318,0.17124,0.013975,0.01594,-0.0019305,9.7399,28.828,-88.847,
1.087,-8.6189,4.6962,0.17588,0.016109,0.016932,0.0034246,9.7497,28.79,-88.868,
1.186,-8.621,4.7153,0.1666,0.013982,0.020013,0.013022,9.7483,28.752,-88.875,
1.284,-8.6026,4.7275,0.17813,0.015017,0.015689,0.018339,9.748,28.759,-88.871,
1.383,-8.5842,4.7758,0.18367,0.018233,0.016821,0.011973,9.7454,28.829,-88.87,
1.482,-8.5769,4.7662,0.15957,0.017158,0.014748,0.0076869,9.7299,28.906,-88.859,
1.581,-8.5929,4.7484,0.17873,0.017168,0.015838,0.0055601,9.7262,28.942,-88.859,
1.68,-8.5885,4.733,0.18606,0.013974,0.017937,0.0087445,9.7211,28.945,-88.861,
1.779,-8.5677,4.7603,0.18696,0.018236,0.016847,0.0098401,9.7169,28.946,-88.865,
1.878,-8.5757,4.7573,0.17484,0.017171,0.016876,0.0076987,9.7195,28.972,-88.865,
1.976,-8.5942,4.7454,0.14894,0.012899,0.017863,0.015134,9.707,28.996,-88.859,
2.075,-8.5716,4.7957,0.15642,0.016105,0.017891,0.011961,9.6995,29.005,-88.855,
2.174,-8.5574,4.8013,0.17768,0.01718,0.018965,0.010909,9.7137,29.058,-88.868,
2.273,-8.5535,4.7953,0.17169,0.017171,0.016876,0.0076987,9.7152,29.094,-88.869,
2.372,-8.5743,4.799,0.169,0.015035,0.01687,0.0087474,9.7116,29.13,-88.862,
2.471,-8.573,4.7718,0.17109,0.013973,0.017924,0.0098108,9.7129,29.151,-88.864,
2.57,-8.5749,4.7809,0.17169,0.013971,0.017911,0.010877,9.7093,29.169,-88.866,
2.668,-8.5592,4.7939,0.16032,0.017165,0.016811,0.01303,9.7088,29.184,-88.864,
2.767,-8.5599,4.79,0.17154,0.0097067,0.019975,0.017252,9.7128,29.208,-88.868,
2.866,-8.5685,4.7832,0.16571,0.010758,0.018816,0.024719,9.7122,29.241,-88.858,
2.965,-8.5655,4.7701,0.17169,0.009671,0.018624,0.040705,9.7316,29.295,-88.86,
3.064,-8.5168,4.846,0.14684,0.007541,0.02068,0.047097,9.7548,29.357,-88.861,
3.163,-8.4766,4.8905,0.0016466,0.035215,0.0048009,0.033376,9.7961,29.502,-88.866,
3.261,-8.4447,4.989,0.17364,0.028939,0.027112,0.037711,9.8476,29.726,-88.877,
3.36,-8.476,5.0071,0.19085,-0.028746,0.027854,0.078829,9.8835,29.992,-88.911,
3.459,-8.389,5.0827,0.084874,-0.013754,0.036291,0.081132,9.8094,30.116,-88.879,
3.558,-8.1393,5.3683,0.13322,0.016181,0.026651,-0.0082523,9.8884,30.362,-88.852,
3.657,-8.3945,4.9334,0.3356,0.033159,0.0035804,-0.040231,10.132,30.776,-88.903,
3.756,-8.4074,5.2836,0.11287,0.056719,0.00025327,-0.12217,10.261,31.117,-88.92,
3.855,-8.5751,4.5901,0.21495,0.018282,0.010286,-0.062711,10.155,30.93,-88.924,
3.953,-8.648,4.5037,0.18277,0.045995,0.017821,0.010074,10.019,30.532,-88.979,
4.052,-8.9005,4.063,0.17184,0.042484,0.017813,0.27238,9.8057,29.85,-88.948,
4.151,-8.921,4.1784,0.24848,0.056907,-0.0073642,0.58696,9.7508,29.371,-88.963,
4.25,-8.565,4.8215,0.14595,0.078791,-0.036677,0.88984,9.5667,29.295,-88.878,
4.349,-8.0715,5.5226,0.18307,0.090029,-0.058665,1.2055,9.3612,30.482,-88.787,
4.448,-7.3641,6.4797,-0.038769,0.15465,-0.080721,1.513,8.9971,33.261,-88.759,
4.546,-6.5329,7.4701,0.38171,0.085849,-0.085263,1.9017,8.4049,38.087,-88.724,
4.645,-5.0167,8.5164,0.27198,0.05468,-0.041206,2.309,7.6244,44.62,-88.622,
4.744,-3.2658,9.5039,0.21241,0.032166,0.041013,2.8126,6.4345,52.733,-88.322,
4.843,-0.30596,10.13,0.17544,0.13492,-0.020043,3.1672,4.9791,62.759,-87.674,
4.942,3.6822,9.0493,0.65249,0.18799,0.14653,3.3669,2.382,74.894,-85.59,
5.041,6.9881,7.9694,-0.059576,0.23118,0.052575,3.3817,-62.695,88.47,-20.672,
5.139,7.2117,5.3958,0.79245,0.30681,0.07088,3.6053,-166.49,73.698,82.923,
5.238,9.9627,1.3912,0.59681,0.20284,0.009867,3.6617,-168.97,56.033,85.343,
5.337,10.329,-2.2437,0.68722,0.19399,-0.096258,3.3805,-169.3,37.782,85.952,
5.436,8.5489,-5.8522,0.43589,0.14389,-0.12446,3.1763,-169.05,19.054,86.102,
5.535,6.0991,-7.4223,1.1818,0.074552,0.018807,2.9643,-169.09,-0.52303,86.114,
5.634,5.1234,-8.6378,0.99214,0.0091842,0.19719,3.1855,-169.38,-19.625,85.788,
5.733,3.0001,-9.8622,0.72898,0.03747,0.21189,3.7158,-170.68,-37.226,84.757,
5.831,-0.96998,-9.2768,1.1789,0.091747,0.058497,3.9767,-173.57,-53.463,82.852,
5.93,-5.3298,-7.2783,-0.23007,0.22488,0.18779,3.9849,-179.14,-69.508,78.386,
6.029,-7.0412,-4.8873,1.2599,0.16814,0.033707,4.2438,132.98,-85.543,32.204,
6.128,-9.5233,-1.9355,0.45835,0.12161,-0.015352,4.5257,20.251,-71.836,-78.872,
