Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,11/16/2018 17:27
0,7.1912,6.7566,0.4787,0.01823,0.014784,0.0044967,157.5,43.176,86.172,
0.099,7.1804,6.7713,0.49023,0.019291,0.013717,0.0044997,157.5,43.18,86.171,
0.197,7.2021,6.7644,0.49292,0.011831,0.015856,0.0055162,157.49,43.179,86.18,
0.296,7.1852,6.7757,0.49816,0.019315,0.017959,0.0055894,157.49,43.181,86.177,
0.395,7.1785,6.7827,0.49278,0.017182,0.017979,0.0045055,157.49,43.181,86.175,
0.494,7.1909,6.7559,0.49263,0.022492,0.013693,0.0055924,157.49,43.18,86.17,
0.593,7.1967,6.7646,0.48439,0.015051,0.019024,0.0066265,157.49,43.177,86.165,
0.692,7.1988,6.7566,0.47781,0.013985,0.019041,0.0055514,157.48,43.18,86.171,
0.79,7.1878,6.755,0.47736,0.011843,0.017984,0.0055279,157.48,43.18,86.169,
0.889,7.1954,6.7736,0.49816,0.012916,0.019031,0.0066089,157.48,43.174,86.166,
0.988,7.2011,6.7635,0.50146,0.015034,0.015858,0.0044762,157.48,43.17,86.169,
1.087,7.1934,6.736,0.46987,0.019295,0.014754,0.0066382,157.47,43.168,86.174,
1.186,7.2125,6.7611,0.48589,0.017148,0.012647,0.0055426,157.47,43.163,86.172,
1.284,7.1901,6.7442,0.48499,0.016108,0.016919,0.0044909,157.47,43.159,86.169,
1.383,7.2142,6.743,0.49547,0.017173,0.016889,0.0066323,157.48,43.158,86.162,
1.482,7.2068,6.7634,0.46553,0.015039,0.016909,0.0055484,157.48,43.157,86.158,
1.581,7.2177,6.7525,0.47691,0.0161,0.015842,0.0055514,157.47,43.152,86.168,
1.68,7.2119,6.7758,0.48334,0.018241,0.016899,0.0055748,157.47,43.142,86.169,
1.779,7.1903,6.7749,0.50535,0.012924,0.020108,0.0055484,157.48,43.149,86.158,
1.877,7.1719,6.7459,0.47751,0.018229,0.014771,0.0055631,157.49,43.155,86.154,
1.976,7.1822,6.7629,0.47182,0.015025,0.014768,0.006603,157.49,43.148,86.148,
2.075,7.1943,6.7602,0.47077,0.018236,0.015848,0.0045026,157.48,43.15,86.15,
2.174,7.2069,6.7707,0.49113,0.016114,0.017983,0.0044967,157.48,43.147,86.15,
2.273,7.1901,6.7676,0.47751,0.01718,0.017966,0.0055719,157.48,43.154,86.146,
2.371,7.1891,6.7575,0.49173,0.019283,0.01264,0.0055601,157.49,43.151,86.147,
2.47,7.2024,6.7629,0.4808,0.017174,0.016902,0.005566,157.48,43.146,86.154,
2.569,7.1984,6.7611,0.50325,0.015046,0.017973,0.0055543,157.48,43.146,86.15,
2.668,7.2017,6.7652,0.4805,0.018241,0.016899,0.0055748,157.48,43.147,86.146,
2.767,7.1924,6.7773,0.46718,0.012911,0.01798,0.0055367,157.48,43.147,86.149,
2.866,7.2041,6.7522,0.49173,0.013973,0.016926,0.0044733,157.48,43.147,86.152,
2.964,7.1858,6.732,0.48918,0.01825,0.017989,0.003448,157.47,43.148,86.161,
3.063,7.218,6.7787,0.48439,0.021445,0.016901,0.0045348,157.47,43.145,86.164,
3.162,7.206,6.7544,0.49128,0.015039,0.016909,0.0055484,157.47,43.154,86.171,
3.261,7.1431,6.7752,0.49891,0.013985,0.019041,0.0055514,157.49,43.161,86.168,
3.36,7.1457,6.7948,0.49577,0.018229,0.014771,0.0055631,157.49,43.153,86.158,
3.458,7.1819,6.7894,0.44937,0.012895,0.015826,0.0076577,157.48,43.16,86.156,
3.557,7.1764,6.7394,0.4799,0.017196,0.02012,0.0034509,157.49,43.178,86.144,
3.656,7.1536,6.8134,0.48005,0.021489,0.023337,0.00030467,157.46,43.15,86.17,
3.755,7.1312,6.7987,0.4564,0.022387,0.00065194,0.027915,157.47,43.139,86.168,
3.854,7.0313,6.8801,0.6263,0.013846,0.012677,0.090828,157.52,43.192,86.152,
