Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,'16-Nov-2018 17:34:48.930'
0,7.6798,-5.9669,0.74889,0.036282,-0.0012077,0.0024256,163.36,-36.926,84.658,
0.099,7.4557,-6.3925,0.44218,0.012977,0.023639,-0.022159,163.43,-37.054,84.643,
0.198,8.0052,-5.7362,0.77269,-0.0083807,0.031619,0.026764,163.37,-36.839,84.667,
0.297,8.0574,-5.3836,0.8399,0.015943,0.023316,0.17728,163.29,-37.022,84.642,
0.396,8.0269,-5.6632,0.7194,0.021001,0.013555,0.36496,163.13,-37.68,84.605,
0.495,7.7877,-6.0221,0.65968,-0.01428,0.034132,0.51834,162.93,-38.897,84.496,
0.593,7.5121,-6.1847,0.73093,-0.029351,0.054964,0.73268,162.47,-41.314,84.322,
0.692,7.2888,-6.608,0.81056,-0.019013,0.051641,1.0015,161.63,-44.777,83.943,
0.791,6.5921,-7.194,0.76521,-0.019212,0.076727,1.2991,160.55,-49.605,83.373,
0.89,5.7644,-7.7931,0.72509,0.020716,0.043354,1.6683,158.91,-55.994,82.331,
0.989,4.6547,-8.8373,0.95921,0.074385,-0.0094105,2.0534,156.24,-64.093,80.282,
1.088,2.8861,-9.3473,0.8908,0.082986,-0.090383,2.4945,150.67,-74.102,75.023,
1.187,0.68647,-9.3102,0.44173,0.044257,-0.045167,2.9829,114.87,-85.131,39.197,
1.285,-1.74,-9.5983,0.77479,0.025416,-0.085966,3.3653,2.5871,-77.937,-73.074,
1.384,-5.5614,-6.1609,-0.15448,0.063213,0.0023172,3.445,-7.7946,-61.264,-83.411,
1.483,-8.6294,-4.9761,0.64785,-0.0042781,-0.012888,3.5745,-10.237,-43.268,-85.85,
1.582,-9.3873,-2.3423,0.11855,-0.022574,-0.00028283,3.7664,-11.967,-24.832,-87.105,
1.681,-9.7968,1.668,0.50759,-0.03531,0.016495,3.7898,-13.037,-5.3898,-87.671,
1.78,-8.3682,5.5533,0.36704,-0.11375,0.081232,3.6498,-13.843,14.82,-87.769,
1.879,-4.7441,8.0143,-0.045805,-0.024907,0.080337,3.4394,-14.301,35.239,-87.552,
1.977,-2.3176,10.093,-0.0964,0.18403,-0.0021348,3.2562,-15.006,54.745,-86.773,
2.076,0.89529,9.6287,0.39608,0.25426,-0.037525,3.2608,-18.432,73.133,-83.332,
2.175,2.99,9.3867,0.51807,0.065676,-0.083042,3.6376,-127.55,87.556,25.266,
2.274,4.9869,8.3425,0.96669,0.083238,-0.055782,4.2746,176.35,70.992,80.647,
2.373,7.8476,5.1975,0.67375,0.14589,-0.049118,4.5833,171.71,51.809,84.199,
2.472,11.008,0.23845,0.82703,0.028701,-0.0015124,4.6359,169.16,29.339,85.586,
2.57,9.7117,-2.9349,0.67614,0.14104,-0.078879,4.9297,167.71,5.1769,85.806,
2.669,6.8752,-7.2701,0.39009,0.12419,-0.19413,5.0484,166.05,-19.469,85.418,
2.768,1.4907,-10.356,0.65384,0.087925,-0.21181,4.9371,164.26,-45.404,84.07,
2.867,-3.0297,-8.84,0.54157,0.02422,-0.19025,4.7575,157.28,-72.067,77.275,
2.966,-7.0033,-6.5565,0.13921,0.14737,-0.16571,4.5464,11.519,-80.134,-68.614,
3.065,-7.4912,-2.8156,-0.35207,0.45106,-0.12324,4.3018,-3.75,-54.651,-84.371,
3.164,-9.7003,1.7515,-0.029489,0.23382,-0.1441,4.671,-6.4411,-29.779,-87.309,
3.262,-8.886,4.37,1.33,0.056092,-0.036176,4.7661,-7.7738,-4.7972,-88.361,
3.361,-5.6401,8.9759,-0.30866,0.2031,-0.27824,4.6849,-10.088,18.695,-88.75,
3.46,0.21899,9.9043,0.59142,0.24246,-0.082009,4.8985,-11.574,44.231,-89.018,
3.559,3.9084,9.0783,0.87568,0.035451,-0.050659,4.9983,-13.124,70.601,-88.388,
3.658,8.0398,6.3731,0.71342,0.096623,-0.0085666,4.934,177.06,83.952,79.856,
3.757,10.84,1.3816,0.47212,0.12762,-0.04026,4.7336,170.32,57.322,86.072,
3.855,9.7881,-3.1459,0.43739,0.12113,-0.086197,4.5765,168.59,30.696,86.877,
3.954,7.1562,-7.3144,0.66088,0.11275,-0.11567,4.2915,167.73,4.266,86.863,
4.053,3.6786,-9.0241,0.05284,0.0024373,0.1173,3.9762,166.97,-21.425,86.525,
4.152,-0.53169,-9.1093,0.47332,0.15912,0.10463,4.1022,165.65,-46.141,85.384,
4.251,-2.9222,-9.3847,1.0501,0.13626,-0.050372,4.6014,160.7,-70.347,80.77,
4.35,-5.9423,-7.6563,0.32288,0.22773,-0.058874,4.8377,39.005,-86.282,-40.009,
4.449,-9.2777,-4.0063,0.67614,0.25885,-0.18397,4.9663,-6.0041,-65.652,-84.038,
4.547,-9.5144,2.2143,0.23217,0.10737,-0.10847,5.2694,-10.157,-41.693,-87.567,
4.646,-7.1544,6.2101,-0.036973,0.036057,-0.025151,5.522,-12.388,-15.748,-89.008,
4.745,-2.5702,9.5828,0.002395,0.35485,0.057919,5.347,-13.956,11.419,-89.825,
4.844,3.533,8.8373,0.56043,0.18795,-0.035468,5.1958,-14.803,39.252,-90.239,
4.943,8.1226,5.4699,-0.098345,0.069721,-0.040646,4.9538,-15.478,68.699,-90.156,
5.042,9.1208,2.0275,0.51074,0.1011,-0.016558,4.7164,171,81.696,83.314,
5.14,9.2223,-2.5996,0.79619,0.045812,-0.006248,4.5838,167.51,52.587,86.7,
5.239,8.4884,-6.4597,0.76132,0.04919,0.012481,4.5306,166.35,24.544,87.138,
5.338,5.0957,-8.6739,0.48739,0.069776,-0.031097,4.956,165.45,-1.6101,87.002,
5.437,2.0412,-9.3608,0.74904,0.04687,-0.06187,5.2159,164.3,-26.726,86.527,
5.536,-2.5537,-9.0406,0.623,0.15421,-0.12485,5.2921,162.37,-51.225,85.191,
5.635,-8.3556,-5.199,-0.072,0.063209,-0.13024,5.495,155.28,-76.404,78.637,
5.734,-8.7713,-0.20433,0.022753,0.10102,-0.04484,5.5491,-3.9189,-76.305,-80.061,
5.832,-7.5008,4.6779,0.37392,0.092749,-0.036171,5.3646,-10.698,-48.11,-87.025,
5.931,-4.0596,9.709,0.28171,0.24045,-0.0026818,5.1986,-12.609,-19.37,-89.014,
6.03,0.54262,8.642,0.1461,0.24491,0.035241,5.2287,-13.105,10.328,-89.781,
6.129,5.3154,8.1302,0.19804,0.10813,0.0030672,5.1975,-13.447,39.934,-90.074,
6.228,9.739,4.028,0.83287,0.12013,0.013615,5.0281,-14.381,68.878,-89.634,
6.327,10.116,-0.46553,0.65085,0.17222,-0.059718,4.8341,174.21,82.373,81.293,
6.426,7.8914,-4.5646,0.51149,0.087087,-0.035885,4.7343,169.27,54.226,85.987,
6.524,5.9332,-7.848,0.52002,0.053872,-0.057031,4.7318,167.91,26.404,86.747,
6.623,2.2625,-9.6687,0.6013,0.019469,-0.089373,4.7751,167.07,-0.82359,86.732,
6.722,-2.4265,-8.6013,-0.085472,0.091903,-0.12512,4.7211,166.03,-27.318,86.214,
6.821,-7.1616,-7.0426,0.42691,0.071341,-0.17787,4.6897,163.83,-53.029,84.516,
6.92,-8.8035,-2.4985,0.36569,0.08578,-0.085286,4.685,153.53,-78.395,74.551,
7.019,-9.0446,1.6672,0.026944,0.10632,-0.058761,4.5989,0.0075172,-75.309,-78.883,
7.117,-7.2195,5.6102,0.078287,0.043398,-0.058048,4.5568,-7.1254,-49.874,-86.183,
7.216,-4.2615,7.9107,0.20926,0.16022,0.0032893,4.4707,-9.0335,-24.48,-88.193,
7.315,0.016765,10.208,0.22468,0.23592,-0.032824,4.3591,-9.8735,1.0027,-89.067,
7.414,4.4281,9.0577,-0.10673,0.053583,0.002669,4.3749,-10.718,26.066,-89.358,
7.513,7.854,6.5734,0.2886,0.12169,-0.04964,4.2845,-11.683,50.642,-89.225,
7.612,8.9888,2.6892,0.15822,0.073828,-0.032794,4.2245,-14.356,75.693,-87.028,
7.711,9.8404,-1.3316,0.68737,0.079558,0.014099,4.1299,177.99,79.729,80.255,
7.809,8.9412,-4.5652,0.85173,0.10496,-0.051133,3.9762,172.51,56.003,85.239,
7.908,5.8199,-7.7368,0.84769,0.050888,-0.030403,3.7743,170.73,32.577,86.229,
8.007,2.1316,-9.4798,0.34009,0.023001,-0.10272,3.5177,169.58,9.4635,86.385,
8.106,-1.3527,-9.2568,0.51179,0.016809,-0.1557,3.0663,168.37,-13.652,86.138,
8.205,-5.4193,-8.3353,0.37198,0.045404,-0.093453,2.668,166.88,-35.979,85.313,
8.304,-7.4907,-6.2601,0.42616,0.095335,-0.039413,2.239,164.22,-57.52,83.04,
8.403,-8.6345,-3.5743,0.24923,0.1152,-0.025091,1.7593,152.8,-78.471,71.884,
8.501,-9.692,-1.5533,0.36659,0.16394,-0.014258,1.2095,13.018,-80.807,-67.968,
8.6,-9.9769,0.13427,0.17304,0.14849,-0.0087903,0.76686,-0.98681,-63.779,-82.43,
8.699,-9.7625,1.0941,0.24803,0.10192,-0.0067074,0.43483,-4.1515,-47.663,-85.835,
8.798,-9.6817,1.3315,0.27662,0.056285,-0.0049996,0.22012,-5.5902,-34.473,-87.094,
8.897,-9.6835,1.3149,0.24354,0.018079,0.0083029,0.099371,-6.6162,-23.565,-87.763,
8.996,-9.7224,1.2733,0.15148,0.010671,0.0099522,0.053463,-7.5782,-15.852,-88.219,
9.095,-9.7271,1.0897,0.12843,0.010662,0.0088622,0.05559,-8.4821,-10.672,-88.503,
9.193,-9.666,0.86236,0.19924,0.018147,0.016971,0.086622,-9.1547,-5.2256,-88.878,
9.292,-9.6899,1.0049,0.038919,0.0182,0.023498,0.074927,-9.5807,0.83866,-88.961,
9.391,-9.7379,1.1822,0.087119,0.028853,0.016251,0.05578,-9.7356,3.8828,-89.048,
9.49,-9.6928,1.3006,0.1208,0.025588,0.010641,0.08025,-9.7514,4.9436,-89.153,
9.589,-9.6693,1.1951,0.21106,0.021268,0.0081621,0.11006,-9.7856,5.371,-89.204,
9.688,-9.7253,1.2095,0.12963,0.024485,0.015299,0.13465,-9.7325,5.6846,-89.219,
9.787,-9.6874,1.3505,0.068258,0.023344,0.012587,0.18262,-9.7149,6.2238,-89.263,
9.885,-9.6929,1.4246,0.053589,0.045677,0.0057005,0.21796,-9.7497,6.7796,-89.306,
9.984,-9.6199,1.6677,0.085023,0.056305,0.0062078,0.2607,-9.8104,7.108,-89.26,
10.083,-9.5721,1.7954,0.088915,0.064845,0.0051945,0.25437,-9.8766,7.5554,-89.304,
10.182,-9.4304,2.1766,-0.0022453,-0.0014237,0.0045218,0.32633,-9.926,8.0588,-89.341,
10.281,-9.5584,2.1849,0.16062,0.017796,0.01053,0.35212,-9.9621,8.7443,-89.365,
10.38,-9.4331,2.5863,0.19025,0.13854,-0.006598,0.15574,-10.025,9.6495,-89.372,
10.479,-9.0171,3.8539,0.028441,0.29007,-0.060594,-0.078985,-10.184,10.727,-89.394,
10.577,-9.0657,3.9751,0.13652,0.45554,-0.10394,-0.3178,-10.397,12.056,-89.432,
10.676,-8.9866,3.8088,0.33276,0.73218,-0.13506,-0.62814,-10.701,13.487,-89.425,
10.775,-9.028,3.8596,0.034129,1.0027,-0.11234,-0.90199,-10.804,14.818,-89.353,
10.874,-9.403,3.2062,-0.022154,1.2696,0.031684,-1.0888,-10.582,16.75,-89.397,
10.973,-9.6182,1.9769,0.60534,1.4244,0.19137,-1.2221,-11.135,17.836,-89.263,
11.072,-9.8536,1.0182,-0.45835,1.542,0.38995,-1.3075,-12.313,18.105,-89.091,
11.17,-9.8025,-0.71521,-0.34877,1.5999,0.61484,-1.2663,-14.303,17.924,-88.927,
11.269,-9.3225,-2.1682,-0.1937,1.5447,0.84943,-1.2069,-17.337,16.103,-88.86,
11.368,-9.025,-3.5593,-0.41314,1.4934,1.0358,-1.1231,-21.778,12.12,-88.562,
11.467,-8.3951,-4.7248,-0.21914,1.306,1.1445,-1.0003,-27.491,6.7652,-88.116,
11.566,-7.5982,-5.7756,-0.13472,1.2034,1.3072,-0.96723,-34.239,0.36233,-87.585,
11.665,-6.8096,-6.3257,-0.15208,1.0296,1.3716,-0.79343,-41.71,-6.7762,-86.963,
11.763,-6.1827,-7.3581,0.099992,0.87867,1.3295,-0.61788,-49.662,-14.195,-86.237,
11.862,-5.1867,-8.1131,0.44293,0.72563,1.2879,-0.485,-57.97,-21.577,-85.357,
11.961,-4.7225,-8.6047,0.51253,0.59361,1.1922,-0.36397,-66.426,-28.761,-84.372,
12.06,-4.2214,-8.6989,0.62001,0.45811,1.0425,-0.27526,-74.848,-35.59,-83.363,
12.159,-3.75,-8.9858,0.42946,0.36222,0.91696,-0.16157,-82.805,-41.884,-82.259,
12.258,-3.5096,-9.1174,0.52526,0.32658,0.84691,-0.16651,-90.643,-47.972,-80.979,
12.357,-3.4265,-9.0524,0.51418,0.32113,0.83472,-0.12503,-98.078,-53.347,-79.56,
