Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll
0,-9.2536,3.9004,0.69785,-0.15956,0.2403,2.5754,-68.824,23.525,-85.622
0.099,-7.9896,6.1227,0.64231,0.016863,0.13011,2.6658,-69.721,37.757,-84.156
0.198,-4.9548,8.5817,0.68692,-0.096324,0.15308,2.8175,-169.56,52.186,-81.84
0.297,-2.67,9.2579,1.2499,-0.057068,0.11457,2.824,-173.83,67.139,-77.238
0.395,-0.034877,9.4835,0.78751,-0.05808,0.13415,2.8764,165.48,81.524,-56.598
0.494,2.5752,9.362,0.50804,-0.041042,0.10066,2.7398,46.581,80.738,62.277
0.593,5.9769,8.0209,0.49697,-0.098425,0.093336,2.4834,28.662,67.041,80.1
0.692,7.6593,6.3335,0.29534,-0.064272,0.074171,2.3886,23.895,53.945,84.562
0.791,8.5942,5.6725,0.051643,0.01618,0.1529,2.4558,21.844,41.053,86.691
0.89,9.2316,2.6987,-0.20373,-0.00752,0.14083,2.5782,20.968,27.705,87.932
0.989,10.001,0.93211,-0.060025,0.079566,0.13023,2.9009,20.466,13.817,88.831
1.087,10.02,-1.4415,0.015268,0.019439,0.14499,3.2748,20.522,-1.7298,89.493
1.186,9.3973,-4.1796,-0.51059,-0.16119,0.28689,3.2901,20.478,-19.614,90.241
1.285,6.1104,-7.4746,-0.29159,-0.045729,0.16867,3.4429,19.791,-38.181,91.003
1.384,3.5389,-9.6242,-0.22887,-0.082571,0.25095,3.4239,20.071,-57.99,92.034
1.483,1.32,-9.5566,-0.25103,-0.067949,0.21872,3.5326,21.486,-77.113,94.658
1.582,-2.1814,-9.4211,-0.052241,-0.06679,0.23163,3.5209,-169.3,-83.252,-95.034
1.681,-5.56,-7.5473,0.042961,-0.11179,0.18703,3.4382,-164.6,-62.664,-89.309
1.78,-8.1347,-4.8845,0.10164,-0.13422,0.16893,3.3579,-164.27,-43.353,-88.115
1.878,-9.3813,-1.6945,0.70039,-0.086824,0.19906,3.1442,-164.22,-24.53,-87.177
1.977,-9.4994,1.7479,0.47691,0.076498,0.14257,2.8498,-164.41,-6.3942,-86.359
2.076,-8.7144,5.1176,0.84664,0.14531,0.012631,2.6684,-142.79,10.575,-85.242
2.175,-7.2545,6.5562,0.78167,0.24196,-0.29726,2.4041,-126.25,26.503,-83.332
2.274,-4.623,8.3387,1.3819,0.22775,-0.58132,2.1443,-105.6,40.15,-82.12
2.373,-3.2319,9.1815,1.475,0.067509,-0.63216,1.9924,-94.336,52.09,-81.227
2.471,-1.7561,9.4717,1.3101,-0.032912,-1.0601,1.6895,-86.046,62.958,-80.538
2.57,1.2204,9.9241,1.0576,-0.20544,-0.98663,1.7269,-82.392,73.102,-79.697
2.669,0.49412,9.5467,1.3957,-0.37428,-0.84936,1.6825,-79.873,82.025,-80.339
2.768,2.9363,9.4271,1.353,-0.44276,-0.7061,1.6444,93.796,88.737,106.2
2.867,4.3565,8.6749,0.99483,-0.48679,-0.572,1.6533,98.724,79.488,101.42
2.966,5.2274,7.911,0.78931,-0.65291,-0.52652,1.5444,98.802,70.366,100.86
3.065,7.3195,6.5636,0.87328,-0.71972,-0.46192,1.4994,98.924,61.238,100.39
3.163,8.053,6.3522,0.74799,-0.91995,-0.38394,1.5259,97.48,52.504,100.41
3.262,8.5647,4.9577,0.77105,-0.88251,-0.15052,1.744,95.572,43.893,100.65
3.361,8.875,4.1715,1.2068,-0.88899,0.054562,1.9424,92.584,35.021,101.14
3.46,9.5172,2.7113,0.14026,-0.95695,0.11728,1.9645,90.11,25.124,101.84
3.559,10.199,0.42691,0.12319,-0.71496,0.27909,2.1572,87.689,14.101,102.74
3.658,9.8328,-1.1231,0.50999,-0.49654,0.39918,2.1992,84.837,2.7989,103.69
3.757,9.2118,-3.5514,0.56238,-0.36713,0.43633,2.1738,83.261,-9.1201,104.94
3.855,8.0432,-5.4114,-0.25447,-0.18091,0.37197,2.3424,83.334,-21.281,106.98
3.954,7.8248,-6.216,0.28501,-0.14457,0.37935,2.3385,85.027,-33.191,110
4.053,5.2437,-8.5465,-0.29728,-0.072453,0.35251,2.6002,88.624,-44.651,114.47
4.152,3.3247,-8.9686,-0.17544,-0.0046041,0.32571,2.8597,96.344,-56.069,122.55
4.251,1.4593,-9.687,-0.060175,-0.011089,0.32094,2.9034,113.09,-66.551,139.34
