Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll
0.013,0.07215,0.061522,9.8425,0.018229,0.014771,0.0055631,-90.001,0.35765,0.41998
0.112,0.10583,0.068857,9.8395,0.018209,0.011579,0.0055455,-90.004,0.34313,0.4479
0.211,0.081131,0.058379,9.8395,0.019301,0.015818,0.0066441,19.122,0.34622,0.456
0.31,0.083526,0.045505,9.8708,0.01929,0.013704,0.005566,19.121,0.33931,0.46124
0.408,0.079934,0.061821,9.8516,0.016101,0.015855,0.004485,19.121,0.34795,0.47027
0.507,0.069755,0.059127,9.842,0.016107,0.016906,0.0055572,19.122,0.34434,0.46681
0.606,0.087119,0.059426,9.8601,0.017148,0.012647,0.0055426,19.121,0.34666,0.47242
0.705,0.0961,0.058678,9.8482,0.016095,0.014791,0.0044792,19.119,0.34611,0.46816
0.804,0.089963,0.056882,9.8386,0.019302,0.015831,0.0055777,19.118,0.34148,0.46936
0.902,0.090262,0.074994,9.8474,0.018229,0.014771,0.0055631,19.117,0.34473,0.4702
1.001,0.0964,0.058229,9.8485,0.022474,0.010514,0.0045085,19.116,0.34333,0.4711
1.1,0.062271,0.042661,9.8247,0.01929,0.013704,0.005566,19.116,0.34169,0.46932
1.199,0.080982,0.06736,9.8578,0.01929,0.013704,0.005566,19.116,0.34243,0.46871
1.298,0.090262,0.068857,9.8411,0.020344,0.011572,0.0055631,19.116,0.34364,0.47032
1.397,0.089065,0.061522,9.8241,0.016107,0.016906,0.0055572,19.116,0.34253,0.46795
1.495,0.081431,0.052541,9.8304,0.01185,0.019047,0.0055338,19.117,0.34437,0.47414
1.594,0.093855,0.055684,9.838,0.019304,0.015844,0.0045114,19.116,0.33997,0.47569
1.693,0.09146,0.049098,9.8332,0.013979,0.01799,0.0044792,19.119,0.34094,0.47357
1.792,0.090861,0.060325,9.825,0.019302,0.015831,0.0055777,19.119,0.33876,0.47701
1.891,0.095202,0.056133,9.8374,0.015039,0.016909,0.0055484,19.121,0.33655,0.47787
1.99,0.076192,0.057181,9.841,0.0161,0.015842,0.0055514,19.121,0.33689,0.4784
2.088,0.085323,0.059726,9.8348,0.017161,0.014774,0.0055543,19.12,0.33928,0.47668
2.187,0.073647,0.059127,9.8464,0.013959,0.014785,0.0055279,19.121,0.33656,0.47568
2.286,0.081131,0.053439,9.8377,0.013972,0.016913,0.0055396,19.121,0.33443,0.47237
2.385,0.087718,0.045206,9.8325,0.015034,0.015858,0.0044762,19.121,0.33691,0.47268
2.484,0.094304,0.037272,9.8378,0.013965,0.015849,0.0055338,19.119,0.33643,0.47675
2.582,0.083826,0.062271,9.8262,0.016095,0.014791,0.0044792,19.121,0.33149,0.47421
2.681,0.082928,0.042661,9.8471,0.018241,0.016899,0.0055748,19.122,0.32975,0.47195
2.78,0.085622,0.074695,9.8347,0.020352,0.012649,0.0045026,19.122,0.32559,0.46929
2.879,0.093855,0.043859,9.8425,0.019309,0.016895,0.0055836,19.121,0.33155,0.47028
2.978,0.069156,0.052092,9.8357,0.021417,0.01262,0.0066441,19.12,0.32842,0.46906
3.077,0.077239,0.057181,9.8322,0.018229,0.014771,0.0055631,19.122,0.33708,0.47158
3.175,0.066013,0.066611,9.8405,0.017162,0.014787,0.004488,19.121,0.34018,0.46543
3.274,0.088466,0.049846,9.8287,0.012904,0.016916,0.0055309,19.121,0.33671,0.46448
3.373,0.090412,0.057031,9.8322,0.019291,0.013717,0.0044997,19.121,0.33735,0.46422
3.472,0.090412,0.085023,9.842,0.013959,0.014785,0.0055279,19.12,0.34224,0.46477
3.571,0.079485,0.06736,9.8419,0.017168,0.015838,0.0055601,19.12,0.34305,0.46304
3.669,0.09625,0.074994,9.8509,0.017169,0.015851,0.0044938,19.121,0.34066,0.462
3.768,0.089214,0.050595,9.8362,0.01716,0.014761,0.0066206,19.121,0.34501,0.46026
3.867,0.087269,0.031285,9.8236,0.016094,0.014778,0.0055455,19.12,0.33909,0.46002
3.966,0.087867,0.081431,9.8389,0.017168,0.015838,0.0055601,19.116,0.33897,0.45361
4.065,0.067959,0.077539,9.8375,0.016094,0.014778,0.0055455,19.114,0.33842,0.45732
4.164,0.091609,0.052541,9.8444,0.016099,0.015829,0.0066177,19.114,0.34513,0.45665
4.262,0.081431,0.029339,9.8405,0.017162,0.014787,0.004488,19.113,0.3461,0.45932
4.361,0.086819,0.075293,9.8551,0.015031,0.015832,0.0066089,19.113,0.33767,0.45686
4.46,0.078886,0.059426,9.8326,0.016092,0.014765,0.0066118,19.115,0.3399,0.45867
4.559,0.095202,0.067959,9.8539,0.013965,0.015849,0.0055338,19.115,0.34472,0.45807
4.658,0.064216,0.048349,9.8521,0.011832,0.015869,0.0044499,19.114,0.3489,0.46042
4.756,0.092508,0.046703,9.8257,0.013965,0.015849,0.0055338,19.112,0.3474,0.45925
