Angular Velocity Z(Left Wheel),Angular Velocity Z(Right Wheel),Intention
0.02471,0.037342,0
0.021535,0.029876,0
0.0065855,0.015014,0
-0.0083519,-0.0041713,0
-0.0082787,-0.018006,0
-0.0061167,-0.028631,0
-0.013622,-0.026498,0
-0.013613,-0.023314,0
-0.0082641,-0.019087,0
-0.0040163,-0.010545,0
0.0086713,0.0096532,0
0.042908,0.030959,0
0.072736,0.056525,0
0.094994,0.10331,0
0.1397,0.15661,0
0.19832,0.22576,0
0.26977,0.30027,0
0.35836,0.36418,0
0.4545,0.4367,0
0.52814,0.49211,0
0.587,0.54413,0
0.65335,0.56119,0
0.70802,0.56435,0
0.74541,0.58351,0
0.77842,0.61751,0
0.82418,0.67396,0
0.88373,0.75175,0
0.95395,0.84437,0
1.0529,0.94672,0
1.2021,1.0798,0
1.3747,1.2471,0
1.6326,1.4612,0
1.8403,1.7253,0
1.8766,1.98,0
1.9834,1.979,0
2.1268,2.0854,0
2.1182,2.1147,0
1.9581,2.04,0
1.9636,1.8934,0
2.0084,1.9976,0
2.1705,2.0591,0
2.4539,2.1858,0
2.8528,2.4628,0
3.481,2.8836,0
3.6783,3.34,0
3.78,3.4785,0
3.9854,3.6283,0
4.0993,3.724,0
4.0324,3.7478,0
3.8644,3.7475,0
3.6459,3.546,0
3.4876,3.5009,0
3.548,3.5456,0
3.8789,3.8071,0
4.2418,4.1921,0
4.492,4.3006,0
4.5825,4.5872,0
4.6691,4.7021,0
4.6244,4.5906,0
4.46,4.3938,0
4.25,4.2117,0
4.0425,4.0498,0
3.7638,3.7886,0
3.5656,3.7825,0
3.9143,3.905,0
4.3483,4.3254,0
4.483,4.4619,0
4.4832,4.7215,0
4.6136,4.6114,0
4.6794,4.661,0
4.5017,4.6672,0
4.3972,4.5364,0
4.2276,4.3492,0
4.1741,4.1658,0
4.088,4.0528,0
4.2643,4.0357,0
4.5976,4.147,0
4.6097,4.4438,0
4.6125,4.5238,0
4.6544,4.5989,0
4.7635,4.7804,0
4.684,4.7394,0
4.6178,4.7013,0
4.516,4.4925,0
4.3611,4.3512,0
4.1196,4.1694,0
4.15,4.0937,0
4.084,4.0357,0
4.3628,4.196,0
4.4629,4.2893,0
4.4441,4.3921,0
4.5481,4.3135,0
4.4069,4.3333,0
4.2997,4.2306,0
4.2223,4.1989,0
4.2226,4.1056,0
4.14,4.0953,0
4.1052,4.1398,0
4.0742,4.1156,0
4.0172,4.0493,0
3.9682,3.9727,0
4.006,3.9601,0
3.9851,3.9295,0
3.9281,3.9022,0
3.9011,3.9068,0
3.7914,3.8823,0
3.6839,3.7866,0
3.5734,3.6962,0
3.4797,3.6399,0
3.4474,3.5592,0
3.2843,3.4979,0
3.0408,3.4338,0
2.7581,3.2059,0
2.4733,2.9851,0
2.1149,2.7229,0
1.7907,2.3961,0
1.5105,2.1003,0
1.2076,1.7444,0
0.93446,1.3969,0
0.67102,1.0847,0
0.43003,0.81442,0
0.24874,0.5664,0
0.15917,0.34926,0
0.1336,0.21089,0
0.1218,0.13629,0
0.12389,0.1075,0
0.13035,0.11506,0
0.14205,0.11716,0
0.14422,0.115,0
0.1367,0.11923,0
0.14739,0.14489,0
