Angular Velocity Z(Left Wheel),Angular Velocity Z(Right Wheel),Intention
0.010074,0.06687,0
0.27238,0.29798,0
0.58696,0.64266,0
0.88984,0.99561,0
1.2055,1.3971,0
1.513,1.8075,0
1.9017,2.0484,0
2.309,2.3486,0
2.8126,2.6682,0
3.1672,3.124,0
3.3669,3.0466,0
3.3817,3.2048,0
3.6053,3.3522,0
3.6617,3.3958,0
3.3805,3.2351,0
3.1763,3.2018,0
2.9643,3.1286,0
3.1855,3.6154,0
3.7158,4.0677,0
3.9767,4.1542,0
3.9849,4.2989,0
4.2438,4.36,0
4.5257,4.492,0
4.4133,4.4755,0
4.2052,4.3397,0
4.0145,3.8731,0
3.9713,3.8159,0
3.9642,3.8674,0
4.1801,4.1644,0
4.5546,4.2114,0
4.6573,4.4907,0
4.6928,4.3942,0
4.803,4.5094,0
4.6472,4.2266,0
4.3766,4.0112,0
4.1185,3.985,0
3.9098,4.0301,0
4.0229,4.3245,0
4.2187,4.5473,0
4.3231,4.7336,0
4.2101,4.5199,0
4.406,4.5054,0
4.215,4.3189,0
4.0692,4.2081,0
4.0065,4.1752,0
3.9843,4.0676,0
3.9291,3.872,0
3.8726,3.9646,0
3.781,3.7528,1
3.7704,3.4414,1
3.7716,3.0405,1
3.7045,2.8782,1
3.6749,2.5319,1
3.7319,2.1087,1
3.5863,1.7735,1
3.3864,1.4369,1
3.0903,1.2191,1
2.8762,1.1219,1
2.7851,0.858,1
2.7752,0.70798,1
2.7836,0.79586,1
2.8357,0.90329,1
2.7564,1.0523,1
2.8442,1.058,1
2.7697,1.1317,1
2.4972,1.269,1
2.1598,1.3677,1
2.1726,1.5603,1
2.2101,1.7624,1
2.291,2.1418,0
2.5881,2.6035,0
3.058,3.1139,0
3.3313,3.1938,0
3.5691,3.2675,0
3.3267,3.1273,0
3.2018,3.0954,0
3.0331,2.8832,0
2.898,2.7207,0
2.7308,2.5557,0
2.647,2.4211,0
2.4682,2.301,0
2.2794,2.1373,0
2.1128,1.9857,0
1.9599,1.8581,0
1.8053,1.6986,0
1.6389,1.5443,0
1.4692,1.3654,0
1.293,1.2163,0
1.0818,1.0121,0
0.85771,0.83322,0
0.64748,0.65211,0
0.46304,0.4597,0
0.31376,0.31075,0
0.19852,0.21923,0
0.1677,0.13104,0
0.11103,0.094806,0
