Angular Velocity Z(Left Wheel),Angular Velocity Z(Right Wheel),Intention
0.27438,0.33109,0
0.60393,0.6742,0
0.92863,1.0763,0
1.2444,1.3553,0
1.4491,1.5552,0
1.5716,1.8334,0
1.7889,2.0758,0
2.0874,2.3795,0
2.3868,2.6618,0
2.8345,3.0641,0
3.0989,3.2325,0
3.2573,3.3575,0
3.2794,3.3393,0
3.2055,3.3095,0
3.015,3.1492,0
2.9092,2.9978,0
2.9354,2.8706,0
3.0046,2.9199,0
3.3594,3.1006,0
4.0266,3.7088,0
4.2001,4.0274,0
4.3227,4.1081,0
4.2738,4.1795,0
4.5853,4.4406,0
4.3376,4.447,0
4.0863,4.5213,0
3.8056,4.1619,0
4.1994,3.935,0
3.8803,3.8081,0
4.2209,3.839,0
4.3664,4.0517,0
4.3923,4.1908,0
4.4988,4.3448,0
4.5963,4.3694,0
4.4501,4.5762,0
4.2297,4.2623,0
4.0352,4.1936,0
3.9676,4.0606,0
4.1342,3.9778,0
4.267,4.2383,0
4.5962,4.6661,0
4.7256,4.4421,0
4.4859,4.6536,0
4.6242,4.6726,0
4.3383,4.5913,0
4.2576,4.3746,0
4.0166,4.4083,0
3.7508,4.189,-1
3.3143,4.0713,-1
2.8428,3.9159,-1
2.4761,3.7572,-1
2.0378,3.5907,-1
1.7491,3.5763,-1
1.6757,3.511,-1
1.6102,3.4796,-1
1.5033,3.5543,-1
1.5765,3.3775,-1
1.6961,3.1145,-1
1.6508,2.9474,-1
1.4871,2.8002,-1
1.6217,2.7537,-1
1.7389,2.763,-1
1.9643,2.8518,-1
2.5337,3.2235,-1
2.9736,3.5821,-1
2.9542,3.6141,-1
3.1402,3.714,-1
3.2601,3.6699,-1
3.2788,3.6456,-1
3.0905,3.4767,-1
3.1077,3.3565,0
3.0876,3.2939,0
3.0925,3.2467,0
3.0807,3.2121,0
3.0821,3.6475,0
2.9818,3.2773,0
2.9489,3.1178,0
2.9099,3.0558,0
2.849,2.959,0
2.7976,2.8702,0
2.7059,2.7925,0
2.6044,2.639,0
2.455,2.4895,0
2.282,2.2807,0
2.0698,2.0479,0
1.7729,1.8896,0
1.3184,1.6222,0
0.9323,1.2492,0
0.67218,0.85436,0
0.56123,0.68524,0
0.47393,0.63202,0
0.40021,0.54896,0
0.32336,0.43834,0
0.25722,0.35322,0
0.23481,0.27665,0
0.18582,0.25226,0
0.17192,0.20857,0
