Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll
0,-9.673,-1.228,0.80293,-0.035841,0.060155,0.83183,-96.643,-6.975,-85.243
0.099,-9.6627,-0.4335,0.87044,-0.024188,0.075274,0.98451,-96.82,-2.0236,-84.987
0.198,-9.7619,0.40206,0.89454,-0.0083786,0.071241,1.136,-97.117,3.6544,-84.67
0.297,-9.3765,1.5506,0.95621,-0.0031649,0.078026,1.2758,-170.19,10.043,-84.275
0.396,-9.2243,2.7038,1.042,0.0030898,0.073534,1.3804,-170.85,17.068,-83.792
0.495,-8.7411,3.9296,1.0574,0.0029814,0.069468,1.4518,-171.69,24.573,-83.198
0.593,-8.241,5.3003,1.1294,-0.0066973,0.069793,1.5146,-172.72,32.431,-82.44
0.692,-7.1701,6.1967,1.2454,-0.048397,0.086254,1.6583,-173.95,40.647,-81.455
0.791,-6.1296,7.2389,1.1496,-0.084604,0.12525,1.7852,-175.41,49.556,-80.01
0.89,-4.9914,7.9651,1.1739,-0.10686,0.16995,1.8769,-177.69,59.088,-77.521
0.989,-3.1914,9.234,0.97986,-0.049554,0.12243,1.9198,177.6,69.031,-72.43
1.088,-1.3354,9.7455,0.8426,-0.028285,0.11858,1.9679,163.14,78.594,-57.761
1.186,0.17603,9.6874,1.0004,-0.048753,0.098788,2.0253,96.616,84.082,8.7526
1.285,2.3069,9.6166,1.0052,-0.055344,0.074945,2.0624,40.292,77.013,64.957
1.384,4.1262,8.8283,0.82943,-0.069204,0.095173,2.152,27.645,66.566,77.469
1.483,5.8418,8.0085,0.5522,-0.064966,0.10787,2.2438,22.65,55.283,82.287
1.582,7.1913,6.5411,0.82763,-0.06609,0.12234,2.3654,19.863,43.337,84.821
1.681,8.9325,4.8502,0.45401,-0.05524,0.16809,2.45,18.08,30.798,86.44
1.779,9.817,2.6239,0.15613,-0.025632,0.14022,2.5461,16.908,17.704,87.602
