Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll
0,2.9963,9.0797,0.92193,-0.0044579,0.31067,3.5667,-146.4,69.99,73.808
0.099,7.3048,7.0764,0.084424,0.061436,0.19652,3.2264,-154.33,51.489,82.255
0.198,9.3443,4.3205,0.29129,0.055378,0.14987,2.6929,94.954,34.616,84.994
0.297,9.6747,0.7441,0.27139,0.16222,0.1335,2.5252,94.189,19.882,86.172
0.396,8.6565,-0.69201,0.89304,0.048886,0.05291,2.2711,93.806,6.8858,86.892
0.494,9.9191,-2.6839,-0.25746,-0.0081176,0.17147,2.3352,93.07,-5.3061,87.468
0.593,9.2714,-4.0708,0.35581,0.036491,0.17216,2.5286,92.595,-17.92,88.172
0.692,8.086,-6.139,-0.37931,-0.092573,0.22754,2.7316,92.095,-31.796,88.944
0.791,6.4658,-7.6934,-0.31045,-0.11663,0.38766,3.13,91.048,-46.85,89.712
0.89,4.2729,-8.9931,-0.25267,-0.079291,0.37432,3.0801,89.87,-63.905,90.823
0.989,0.25851,-9.0277,-0.55954,-0.068593,0.40155,3.1998,90.131,-80.879,93.365
1.087,-2.5279,-9.412,0.63079,-0.089898,0.26241,3.3588,-94.431,-81.116,-89.227
1.186,-5.0224,-7.3707,0.31824,-0.13152,0.18849,2.9763,-94.186,-62.138,-87.685
1.285,-8.7682,-4.0994,-0.15089,-0.038918,0.1861,2.2786,-94.331,-44.781,-86.789
1.384,-9.371,-0.53349,0.41733,-0.18521,0.12493,2.0104,-92.813,-31.245,-86.178
1.483,-9.1511,0.5266,0.66582,-0.04853,0.10597,1.8728,-83.63,-19.753,-85.456
1.582,-9.2792,0.55295,1.1352,-0.082894,0.086033,1.946,-82.327,-9.6431,-85.001
1.68,-9.4799,2.2105,0.72764,-0.078452,0.14478,2.0999,-82.365,0.71776,-84.61
1.779,-8.975,4.0859,0.89529,-0.057872,0.10515,2.551,-82.941,11.629,-83.996
1.878,-8.7906,6.3235,1.0409,-0.062774,0.095955,3.0425,-83.969,24.478,-83.038
1.977,-7.3841,7.0307,1.4616,-0.11259,0.047045,3.4001,-86.025,39.419,-81.367
2.076,-3.1671,9.353,1.4208,-0.10612,0.022631,3.2198,-90.033,57.566,-77.944
2.175,0.88511,8.6745,0.49068,-0.091225,0.23384,3.4333,-101.89,75.12,-66.637
2.273,2.8507,9.4063,2.0394,-0.024827,0.22276,3.1917,141.47,82.25,49.542
2.372,7.3741,6.7317,0.33396,-0.011127,0.2685,2.6674,111.05,64.637,80.25
2.471,9.2126,4.2212,0.4588,0.21496,0.13667,2.1663,106.62,47.074,85.222
2.57,8.7054,3.1075,0.21091,-0.17954,0.018541,2.0952,104.86,33.243,87.139
2.669,8.0558,1.7069,0.064815,-0.067294,0.22259,2.0866,104.09,21.411,88.167
2.768,9.7337,-0.52107,0.25178,-0.11356,0.18405,2.2043,103.13,10.135,89.08
2.866,9.6757,-2.154,-0.034428,-0.11686,0.25124,2.627,102.5,-1.1257,90.074
2.965,9.5506,-3.6467,-0.32482,-0.091914,0.24856,3.187,101.91,-13.098,90.907
3.064,8.6649,-5.7299,-0.56433,-0.026471,0.30467,3.1932,101.45,-27.163,91.836
3.163,4.4871,-9.4883,0.36344,-0.12125,0.33113,3.1425,101.53,-44.029,93.229
3.262,1.4072,-9.8539,-0.76551,-0.097297,0.12752,3.5148,103.14,-61.624,95.974
3.361,-0.2648,-9.9727,0.24729,-0.19848,0.096996,3.1661,109.11,-78.571,103.3
3.459,-5.6531,-7.1379,-0.44907,-0.1464,0.096063,2.4467,-97.818,-81.766,-103.33
3.558,-8.2055,-4.8761,-0.27513,-0.11683,0.13438,2.0036,-86.204,-63.812,-91.773
3.657,-7.8732,-5.4437,-0.011526,0.023412,0.14597,1.7158,-83.866,-47.307,-89.397
3.756,-9.137,-2.3461,0.28695,0.00081546,0.10622,1.6663,-83.104,-35.825,-88.361
3.855,-9.6524,-1.5189,0.54008,0.039205,0.12376,1.7883,-82.864,-25.816,-87.634
3.954,-9.9315,-0.42512,0.70009,0.022829,0.13425,2.1519,-83.068,-16.845,-87.168
4.052,-9.2794,0.76581,0.86385,-0.027942,0.1315,2.6505,-83.68,-7.3716,-86.765
4.151,-9.4957,2.2229,0.73303,0.047127,0.11623,3.1832,-84.414,3.0822,-86.214
4.25,-8.7764,5.2803,0.58438,-0.18112,0.14272,3.1644,-85.232,15.611,-85.436
4.349,-4.811,8.4598,2.0783,-0.10935,0.19403,3.2133,-86.578,30.777,-84.142
4.448,-1.4304,10.145,0.56043,-0.1165,0.27233,3.3373,-88.881,48.619,-81.789
4.546,0.30462,9.7281,0.87433,0.067902,0.31771,2.8859,-93.429,65.495,-77.432
4.645,5.0728,8.6357,0.50131,0.020629,0.11059,2.0867,-119.61,82.454,-50.941
4.744,8.1717,5.8594,-0.2889,0.096174,0.1545,1.6087,119.38,77.041,71.132
4.843,8.1758,6.3719,0.19594,-0.11427,0.061376,1.2738,109.4,61.664,82.156
4.942,9.5292,3.5853,-0.17214,-0.025341,0.1275,1.325,107.11,50.535,84.764
5.041,8.6282,4.2824,0.29728,-0.039327,0.12347,1.3973,106.32,42.007,86.032
5.139,9.0707,3.0252,0.3145,-0.087592,0.13837,1.67,105.35,35.004,86.903
5.238,9.4847,2.3824,0.19654,-0.078302,0.16427,2.0723,104.78,28.052,87.578
5.337,10.226,1.1686,0.097597,-0.094435,0.20318,2.3752,104.12,20.633,88.255
5.436,10.178,-1.1764,-0.047302,-0.057332,0.21557,2.6571,103.41,11.861,89.049
5.535,9.3856,-3.5181,-0.20657,-0.040248,0.2386,2.7704,102.74,1.3667,89.815
5.634,8.7161,-5.8801,-0.14116,-0.17799,0.34212,2.4329,102.25,-10.987,90.667
5.732,4.8543,-7.5193,-1.2095,-0.045375,0.11006,2.8422,102.06,-24.545,91.686
5.831,5.7055,-8.1779,-0.081131,-0.11325,-0.029101,2.6671,102.25,-39.312,92.967
5.93,0.99363,-9.5907,-0.43335,-0.1757,0.093938,1.9325,102.69,-53.078,94.47
6.029,-3.2719,-8.8807,-0.69605,-0.092909,0.28722,1.5066,103.92,-66.996,96.712
6.128,-6.6022,-7.1318,-0.22678,-0.068873,0.1219,1.0985,114.22,-81.856,106.89
6.226,-6.0584,-7.6462,-0.10897,-0.064191,0.019341,1.131,-100.17,-84.538,-107.78
6.325,-5.521,-8.304,0.57959,-0.085556,0.045271,1.2782,-87.236,-76.135,-94.716
6.424,-6.1223,-7.5882,-0.37781,-0.13597,0.075056,1.6394,-84.714,-69.404,-91.861
6.523,-6.6598,-6.9245,0.30282,-0.16612,0.10459,2.0158,-83.712,-63.749,-90.789
