Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll
21.293,9.5298,-2.5429,0.19175,-0.076655,0.14693,1.4899,8.5539,-3.6622,87.589
21.392,9.19,-3.9546,0.16421,-0.091772,0.18833,1.8494,4.6269,-17.443,88.449
21.491,8.7312,-5.247,0.18367,-0.052602,0.23709,2.3758,3.9361,-25.386,88.89
21.59,6.5371,-7.6368,0.018112,-0.034832,0.22834,2.651,3.1094,-35.22,89.399
21.689,4.6098,-9.6299,-0.076042,-0.099577,0.28821,2.6444,2.5495,-47.608,90.147
21.787,2.0629,-9.2461,-0.14445,-0.034626,0.11276,2.7922,2.2855,-61.64,91.002
21.886,-1.531,-9.5051,0.26091,-0.06223,0.14334,2.822,2.1411,-75.779,92.074
21.985,-4.4652,-8.4496,-0.041164,-0.089748,0.15975,2.7056,144.78,-89.3,-124.44
22.084,-6.7878,-7.4734,0.069156,-0.11651,0.12399,2.5911,178.86,-74.293,-89.836
22.183,-7.5024,-5.6377,0.71222,-0.09125,0.25007,2.6293,179.59,-59.556,-88.387
22.282,-9.0406,-3.3378,0.64785,-0.028878,0.16383,2.704,179.8,-45.473,-87.51
22.38,-9.5944,-1.5455,0.78527,-0.042948,0.19502,3.0283,179.68,-31.617,-86.836
22.479,-9.4912,1.0068,0.94439,-0.032767,0.18515,3.3973,179.18,-17.358,-86.133
22.578,-7.8075,5.3095,1.0135,-0.14278,0.21387,3.6002,178.4,-2.2054,-85.39
22.677,-5.5493,8.0863,1.4071,-0.13121,0.20513,3.7026,177.06,14.666,-84.245
22.776,-2.4601,8.7944,0.95771,-0.12861,0.29775,3.7853,175.09,33.28,-82.453
22.875,1.305,9.3044,0.92074,-0.042512,0.24891,3.8412,171.62,52.836,-78.882
22.973,4.9459,8.881,0.77898,0.020783,0.3059,3.8633,160.7,72.499,-67.763
23.072,7.6597,5.9994,0.57091,0.057909,0.25744,3.8143,58.075,82.52,35.226
23.171,8.9958,3.0363,0.63214,0.10267,0.23961,3.7815,16.213,64.158,77.285
23.27,9.3198,-0.70488,0.26615,0.10664,0.17758,3.7194,10.373,43.603,83.621
23.369,8.7902,-4.2681,0.17394,0.027616,0.14842,3.6012,8.3871,22.765,86.211
23.468,7.3496,-6.7803,0.29219,0.030464,0.093871,3.6234,7.6748,2.454,87.635
23.566,4.3878,-8.6566,-0.58274,-0.090231,0.25414,3.5998,7.4901,-17.583,88.544
23.665,0.6251,-9.3624,0.23336,-0.059294,0.23885,3.537,7.2164,-37.196,89.233
23.764,-2.5452,-9.6807,0.34398,-0.065864,0.20521,3.5059,6.9808,-56.689,89.907
23.863,-5.2647,-8.0247,0.18861,-0.11402,0.19416,3.5513,6.0061,-76.051,90.075
23.962,-7.3767,-5.4247,0.33815,-0.15465,0.1836,3.5551,-171.39,-84.824,-86.01
24.06,-8.8852,-1.8238,0.64561,-0.16728,0.20036,3.4933,-173.92,-65.587,-87.356
24.159,-9.3415,1.1715,0.66731,-0.18392,0.26279,3.4391,-174.63,-46.586,-86.911
24.258,-8.6646,4.5939,1.0484,-0.21783,0.29237,3.3782,-174.94,-27.121,-86.307
24.357,-6.9249,6.9253,0.95127,-0.29783,0.48686,3.417,-175.26,-8.0606,-85.455
24.456,-3.9311,8.8933,0.61357,-0.2326,0.6815,3.4069,-175.87,10.561,-84.311
24.555,-0.9637,9.4754,0.27992,-0.0092018,0.73494,3.4165,-176.96,29.283,-82.585
24.653,2.6532,9.5174,0.073647,0.2087,0.74473,3.3437,-178.67,47.518,-79.688
24.752,4.7668,8.3538,0.15523,0.62652,0.85417,3.5098,176.39,65.99,-72.596
