Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll
0,9.498,-2.7513,-0.33845,0.14035,-0.0067668,0.42982,-73.237,-16.264,92.046
0.099,9.3311,-2.6954,-0.18606,0.13699,0.0076305,0.64528,-72.534,-19.005,91.821
0.198,9.2548,-3.1984,-0.23277,0.10903,0.023739,0.90108,116.54,-22.993,92.063
0.296,9.1629,-3.7867,-0.40521,0.10231,0.037671,1.2424,117.31,-28.478,92.472
0.395,8.8637,-4.4482,-0.52825,0.071006,0.050397,1.6015,118.21,-35.727,93.045
0.494,8.2154,-5.6153,-0.54487,0.011933,0.062018,1.9712,119.24,-44.895,93.867
0.593,6.9727,-7.1867,-0.70174,-0.065725,0.17898,2.3455,120.36,-55.861,95.162
0.692,5.5805,-8.3326,-0.56837,-0.083522,0.32965,2.8186,122.68,-68.883,98.263
0.791,3.5518,-9.3526,-0.46508,-0.069418,0.38891,2.9289,140.18,-83.741,117.14
0.89,-0.08173,-10.081,-0.55789,0.015515,0.48673,2.913,-80.876,-79.256,-102.24
0.988,-3.6945,-8.3889,-0.11646,0.016854,0.39181,3.1045,-73.756,-63.464,-93.073
1.087,-5.1191,-7.5028,0.36075,0.090883,0.28769,3.16,-73.092,-46.986,-90.558
1.186,-7.8088,-5.6696,0.14475,0.08859,0.25811,3.1427,-73.468,-29.959,-89.102
1.285,-9.5594,-2.0139,0.49038,0.1129,0.17754,2.9388,-74.279,-12.928,-88.017
1.384,-9.5837,0.85203,0.55789,0.19511,0.14148,2.7345,-75.474,2.9497,-87.085
1.483,-8.9101,3.7433,0.99034,-0.029915,0.15012,2.6079,-77.201,17.705,-86.145
1.581,-8.3369,4.6881,1.1857,-0.041869,0.12204,2.645,-78.736,31.631,-85.148
1.68,-6.6221,8.2227,0.26181,-0.10106,0.24312,2.7646,-79.938,45.896,-83.776
1.779,-4.7028,8.5001,0.69486,-0.082425,0.38601,3.0823,-82.257,60.345,-80.84
1.878,-3.0117,9.1008,0.88481,-0.034208,0.51182,3.5707,-91.012,75.73,-71.104
1.977,0.12289,10.018,0.44907,0.067622,0.29449,3.9138,151.37,83.794,48.385
2.076,4.3648,8.6396,-0.23411,0.15046,0.48486,4.3346,119.55,64.656,81.995
2.175,6.2706,7.8479,1.3969,0.13905,0.3885,4.4737,116.54,42.915,86.408
2.273,11.245,2.1929,-1.1182,0.038827,0.22429,4.441,116.62,19.304,88.704
2.372,11.426,-1.6397,-0.34758,-0.010607,0.1661,4.4264,116.89,-4.6269,90.093
2.471,7.4219,-5.5156,-0.48903,-0.097642,0.22627,4.3141,117.42,-28.765,91.393
2.57,4.9995,-9.159,-0.57915,-0.082324,0.24391,4.0861,118.22,-52.681,92.99
2.669,1.1415,-9.4627,-0.15897,-0.083516,0.33727,3.7613,120.73,-75.919,96.398
2.768,-3.3954,-8.1595,-0.37302,-0.030066,0.30484,3.528,-74.213,-81.998,-97.536
2.867,-6.3408,-7.3892,0.29204,-0.088759,0.1365,3.5618,-68.292,-61.156,-90.2
2.965,-7.884,-5.3175,0.68782,-0.11416,0.17672,3.5853,-67.783,-41.742,-88.498
3.064,-9.0503,-2.0398,0.27094,-0.17823,0.25476,4.0064,-67.629,-22.091,-87.909
3.163,-9.6453,0.39712,0.019609,-0.12729,0.29982,4.4848,-67.653,-2.7441,-86.928
3.262,-8.8794,4.4769,0.73886,-0.091386,0.25484,4.5862,-67.976,18.421,-85.615
3.361,-4.959,7.9566,0.57825,-0.089126,0.2911,4.6653,-69.681,42.112,-83.326
3.46,-1.0766,9.3325,0.6477,-0.096133,0.21713,4.7992,-75.771,66.57,-76.838
3.558,3.7991,9.5653,0.7215,-0.092687,0.26657,4.8454,-177.86,84.716,25.422
3.657,8.0312,6.4308,0.4558,-0.075442,0.27015,4.7219,125.68,61.65,82.003
3.756,10.781,1.9144,-0.1672,-0.042209,0.26144,4.5557,121.09,35.574,86.871
3.855,9.0563,-2.4296,0.37048,-0.061376,0.24593,4.4371,119.61,9.8284,88.816
3.954,7.5642,-6.203,-0.25492,-0.10243,0.28077,4.1224,119.06,-15.339,90.18
4.053,3.6807,-9.2544,-0.65818,-0.068956,0.1768,4.1754,119.05,-39.712,91.51
4.151,0.49233,-8.3715,0.93226,-0.13133,0.26607,4.1135,120.04,-63.042,93.551
4.25,-3.715,-9.0634,-0.52092,-0.12007,0.25026,4.4462,131.07,-84.937,105.58
4.349,-5.5852,-8.4685,0.31569,-0.020654,0.32548,4.7077,-67.921,-71.992,-92.7
4.448,-8.0416,-4.3979,-0.24459,-0.16309,0.28129,4.878,-65.733,-49.709,-89.448
4.547,-10.008,0.029788,0.8661,-0.12147,0.30709,5.0192,-65.539,-25.487,-87.921
